dataset,native_code,target_code,speaking_score,n_observations,native_language,target_language,asjp_lexical,concepts_lexical,glottolog_genetic,l2v_genetic,urielplus_genetic,modality_hyperbolic,l2v_geographic,urielplus_geographic,modality_speaker,grambank_typological,qwals_typological,l2v_featural,l2v_syntactic,urielplus_featural,urielplus_syntactic,urielplus_morphological,modality_island,l2v_inventory,l2v_phonological,phoible_phonological,urielplus_inventory,urielplus_phonological,scripts_script,urielplus_script,pair_id,outcome,outcome_z
stex,afri1274,dutc1256,544.0897009966777,301,Afrikaans,Dutch,0.0979945691681306,0.04,0.564393939393939,0.4,0.4544,14.825356,0.4,0.3215,0.457065212865054,,0.0592592623498704,0.4,0.48,0.5513,0.6025,0.6185,0.160069057697869,0.3948,0.0002,0.7,0.3988,0.3789,0.666666666666667,0.3776,stex::afri1274->dutc1256,544.0897009966777,1.5759204434063576
stex,alba1267,dutc1256,510.5208333333333,288,Albanian,Dutch,,,,1.0,0.7837,18.499565,1.0,0.0648,0.0891729729721752,,0.271456480026245,0.6,0.63,0.5256,0.5478,0.5745,0.0849829759821139,0.6068,0.0002,,0.5027,0.3931,,0.2566,stex::alba1267->dutc1256,510.5208333333333,-0.17451877604752714
stex,amha1245,dutc1256,490.3623188405797,138,Amharic,Dutch,0.496477462780041,0.04,1.0,1.0,1.0,22.684826,0.3,0.2147,0.287950476411135,0.543358164784606,0.354348882039388,0.6,0.61,0.5759,0.5994,0.6462,0.112600368317747,0.5183,0.5687,0.729411764705882,0.5183,0.439,1.0,0.572,stex::amha1245->dutc1256,490.3623188405797,-1.2256788785545407
stex,arab1395,dutc1256,498.92643833305215,5927,Arabic,Dutch,,0.05,1.0,,,,,,,0.54824997463026,0.409963773644489,,,,,,,,,0.793650793650794,,,1.0,,stex::arab1395->dutc1256,498.92643833305215,-0.7791052618911848
stex,azer1255,dutc1256,510.7906976744186,129,Azerbaijani,Dutch,,,1.0,,,,,,,0.546780643553654,,,,,,,,,,0.622641509433962,,,0.666666666666667,,stex::azer1255->dutc1256,510.7906976744186,-0.1604467754276321
stex,bela1254,dutc1256,533.7307692307693,26,Byelorussian,Dutch,0.468736933605327,0.04,0.75,0.9,0.8934,21.38626,0.1,0.0573,0.0975055795278804,0.529728463363976,0.263778651202167,0.8,0.68,0.5348,0.5426,0.6241,0.0808958404058899,0.6068,0.0002,,0.4788,0.359,0.75,0.3776,stex::bela1254->dutc1256,533.7307692307693,1.0357568425205037
stex,beng1280,dutc1256,494.6904761904762,42,Bengali,Dutch,0.476326058600861,0.12,0.825757575757576,0.875,0.9196,19.797161,0.4,0.2898,0.373148475239132,,0.434562190886467,0.6,0.67,0.5519,0.5939,0.5468,0.0985708398986555,0.5193,0.6162,0.696969696969697,0.5193,0.439,1.0,0.6185,stex::beng1280->dutc1256,494.6904761904762,-0.9999883235675081
stex,bosn1245,dutc1256,527.4747474747475,99,Bosnian,Dutch,0.435581288776718,,0.825757575757576,0.9,0.9196,25.545197,0.1,0.0569,0.0755059718009987,,0.5,0.7,0.54,0.507,0.507,0.6019,0.0898920774105736,0.6068,0.0002,,0.4766,0.359,0.75,0.0,stex::bosn1245->dutc1256,527.4747474747475,0.709538337049284
stex,bulg1262,dutc1256,528.1367673179396,563,Bulgarian,Dutch,0.462980014648943,0.0699999999999999,0.791666666666667,0.8571,0.9131,20.213018,0.1,0.0727,0.0962123210473044,,0.348054851804461,0.5,0.5,0.5052,0.5035,0.5739,0.0808312909971357,0.5097,0.6162,0.666666666666667,0.5097,0.359,0.75,0.0,stex::bulg1262->dutc1256,528.1367673179396,0.7440591766915962
stex,cent2194,dutc1256,497.7009966777409,602,Tamazight,Dutch,,,1.0,1.0,1.0,23.35372,0.1,0.0908,0.133716502403504,,0.428761901855469,0.7,0.8,0.5851,0.6529,0.5975,0.0981385183181006,0.5145,0.5687,0.704918032786885,0.5145,0.3931,0.75,0.405,stex::cent2194->dutc1256,497.7009966777409,-0.8430055744105625
stex,cent2390,dutc1256,499.9485511531638,3382,Persian,Dutch,,0.0799999999999999,0.816666666666667,,,,,,,0.50395263067897,0.278678894042969,,,,,,,,,0.5,,,1.0,,stex::cent2390->dutc1256,499.9485511531638,-0.725807474638631
stex,croa1245,dutc1256,516.3970893970894,481,Croatian,Dutch,0.458798587613411,0.1,0.825757575757576,0.875,0.9196,25.546099,0.1,0.0474,0.0564520176428822,0.493480816306142,,0.6,0.76,0.5028,0.4976,0.6019,0.0898392508480868,0.4766,0.0002,0.636363636363636,0.4766,0.359,0.666666666666667,0.0,stex::croa1245->dutc1256,516.3970893970894,0.1318969535716235
stex,czec1258,dutc1256,540.0488322717622,471,Czech,Dutch,0.469451941135686,0.06,0.773809523809524,0.8571,0.9131,20.45585,0.0,0.0308,0.047519022724584,0.477939740907875,0.305391495044415,0.5,0.51,0.481,0.4979,0.5159,0.0759445466905396,0.4427,0.0002,0.574074074074074,0.4427,0.359,0.666666666666667,0.0,stex::czec1258->dutc1256,540.0488322717622,1.3652104734516533
stex,dani1285,dutc1256,549.7320574162679,209,Danish,Dutch,0.356676572692632,0.03,0.547619047619048,0.7,0.7323,17.839035,0.0,0.0178,0.0347228889173344,0.466995831226552,0.181674810556265,0.7,0.47,0.4401,0.3919,0.6123,0.0734605503728218,0.6068,0.0002,0.75,0.4427,0.3548,0.666666666666667,0.1864,stex::dani1285->dutc1256,549.7320574162679,1.8701395414718216
stex,esto1258,dutc1256,540.9538461538461,65,Estonian,Dutch,0.491239545442083,0.03,1.0,1.0,0.9687,22.82165,0.1,0.0608,0.0820148911470101,0.446099736745471,0.346285254866989,0.8,0.59,0.5163,0.5434,0.5224,0.0821572113116528,0.6068,0.0002,0.796296296296296,0.5122,0.3064,0.666666666666667,0.658,stex::esto1258->dutc1256,540.9538461538461,1.4124021693181121
stex,ewee1241,dutc1256,496.34615384615387,26,ÃÂwÃÂ©,Dutch,,0.0699999999999999,1.0,1.0,1.0,22.050991,0.3,0.2013,0.248111341707756,0.517549169506766,0.350855648517609,0.6,0.62,0.5677,0.5969,0.7366,0.113999027757683,0.48,0.5228,0.698412698412698,0.48,0.4513,0.666666666666667,0.0,stex::ewee1241->dutc1256,496.34615384615387,-0.9136534750901404
stex,finn1318,dutc1256,538.046218487395,238,Finnish,Dutch,0.494472380247633,0.03,1.0,1.0,1.0,22.469017,0.1,0.0754,0.0969955683988687,0.483560591623371,0.288557328675923,0.6,0.61,0.507,0.5752,0.5224,0.0872268763160933,0.4561,0.5687,0.672131147540984,0.4561,0.1722,0.666666666666667,0.0,stex::finn1318->dutc1256,538.046218487395,1.260784737536732
stex,fula1264,dutc1256,499.5217391304348,23,Fulani,Dutch,,0.04,1.0,1.0,1.0,19.664421,1.0,0.1755,0.243440448042066,,,0.6,0.63,0.5556,0.6695,0.5865,0.0940710329076148,0.6068,0.0002,,0.4209,0.3445,0.666666666666667,0.405,stex::fula1264->dutc1256,499.5217391304348,-0.7480634682399607
stex,hait1244,dutc1256,493.81481481481484,27,Haitian,Dutch,,0.18,0.857843137254902,0.9,0.9386,23.617622,0.4,0.2886,0.370316464504636,0.480814720759384,0.416666666666667,0.8,0.62,0.6494,0.7095,0.8427,0.1889883221356,0.6068,0.0002,,0.4382,0.4685,0.666666666666667,0.0,stex::hait1244->dutc1256,493.81481481481484,-1.0456494411926442
