scope,measure,n_nonmissing,n_total,coverage
pooled,asjp_lexical,119,177,0.672316384180791
pooled,concepts_lexical,156,177,0.8813559322033898
pooled,glottolog_genetic,170,177,0.96045197740113
pooled,l2v_genetic,172,177,0.9717514124293786
pooled,urielplus_genetic,172,177,0.9717514124293786
pooled,modality_hyperbolic,172,177,0.9717514124293786
pooled,l2v_geographic,172,177,0.9717514124293786
pooled,urielplus_geographic,172,177,0.9717514124293786
pooled,modality_speaker,172,177,0.9717514124293786
pooled,grambank_typological,120,177,0.6779661016949152
pooled,qwals_typological,165,177,0.9322033898305084
pooled,l2v_featural,172,177,0.9717514124293786
pooled,l2v_syntactic,172,177,0.9717514124293786
pooled,urielplus_featural,172,177,0.9717514124293786
pooled,urielplus_syntactic,172,177,0.9717514124293786
pooled,urielplus_morphological,172,177,0.9717514124293786
pooled,modality_island,172,177,0.9717514124293786
pooled,l2v_inventory,172,177,0.9717514124293786
pooled,l2v_phonological,172,177,0.9717514124293786
pooled,phoible_phonological,151,177,0.8531073446327684
pooled,urielplus_inventory,172,177,0.9717514124293786
pooled,urielplus_phonological,172,177,0.9717514124293786
pooled,scripts_script,170,177,0.96045197740113
pooled,urielplus_script,172,177,0.9717514124293786
stex,asjp_lexical,51,70,0.7285714285714285
stex,concepts_lexical,63,70,0.9
stex,glottolog_genetic,68,70,0.9714285714285714
stex,l2v_genetic,66,70,0.9428571428571428
stex,urielplus_genetic,66,70,0.9428571428571428
stex,modality_hyperbolic,66,70,0.9428571428571428
stex,l2v_geographic,66,70,0.9428571428571428
stex,urielplus_geographic,66,70,0.9428571428571428
stex,modality_speaker,66,70,0.9428571428571428
stex,grambank_typological,48,70,0.6857142857142857
stex,qwals_typological,65,70,0.9285714285714286
stex,l2v_featural,66,70,0.9428571428571428
stex,l2v_syntactic,66,70,0.9428571428571428
stex,urielplus_featural,66,70,0.9428571428571428
stex,urielplus_syntactic,66,70,0.9428571428571428
stex,urielplus_morphological,66,70,0.9428571428571428
stex,modality_island,66,70,0.9428571428571428
stex,l2v_inventory,66,70,0.9428571428571428
stex,l2v_phonological,66,70,0.9428571428571428
stex,phoible_phonological,60,70,0.8571428571428571
stex,urielplus_inventory,66,70,0.9428571428571428
stex,urielplus_phonological,66,70,0.9428571428571428
stex,scripts_script,68,70,0.9714285714285714
stex,urielplus_script,66,70,0.9428571428571428
toefl,asjp_lexical,68,107,0.6355140186915887
toefl,concepts_lexical,93,107,0.8691588785046729
toefl,glottolog_genetic,102,107,0.9532710280373832
toefl,l2v_genetic,106,107,0.9906542056074766
toefl,urielplus_genetic,106,107,0.9906542056074766
toefl,modality_hyperbolic,106,107,0.9906542056074766
toefl,l2v_geographic,106,107,0.9906542056074766
toefl,urielplus_geographic,106,107,0.9906542056074766
toefl,modality_speaker,106,107,0.9906542056074766
toefl,grambank_typological,72,107,0.6728971962616822
toefl,qwals_typological,100,107,0.9345794392523364
toefl,l2v_featural,106,107,0.9906542056074766
toefl,l2v_syntactic,106,107,0.9906542056074766
toefl,urielplus_featural,106,107,0.9906542056074766
toefl,urielplus_syntactic,106,107,0.9906542056074766
toefl,urielplus_morphological,106,107,0.9906542056074766
toefl,modality_island,106,107,0.9906542056074766
toefl,l2v_inventory,106,107,0.9906542056074766
toefl,l2v_phonological,106,107,0.9906542056074766
toefl,phoible_phonological,91,107,0.8504672897196262
toefl,urielplus_inventory,106,107,0.9906542056074766
toefl,urielplus_phonological,106,107,0.9906542056074766
toefl,scripts_script,102,107,0.9532710280373832
toefl,urielplus_script,106,107,0.9906542056074766
