scope,measure,n,beta,se,ci_low,ci_high,p_value,partial_r2
pooled,asjp_lexical,119,-0.3982737928891431,0.18629306301741116,-0.7634014869729197,-0.033146098805366564,0.03252579564417801,0.15875751505269364
stex,asjp_lexical,51,-0.519070868848788,0.31822257585642816,-1.1427756565949525,0.10463391889737661,0.10285727103216648,0.2507155762871571
toefl,asjp_lexical,68,-0.31107695006663116,0.38160609056819106,-1.0590111438614156,0.4368572437281534,0.41497033836954544,0.10173367110278475
pooled,concepts_lexical,156,-0.3888551209985993,0.0633224955030416,-0.5129649315957604,-0.2647453104014382,8.207148131098674e-10,0.1615610830326376
stex,concepts_lexical,63,-0.44257944281634665,0.10022238028909106,-0.6390116986278421,-0.24614718700485116,1.0055609135800124e-05,0.19274267356489838
toefl,concepts_lexical,93,-0.35412593104150536,0.08883645785833819,-0.5282421889579585,-0.18000967312505226,6.712068891299724e-05,0.14382463609125884
pooled,glottolog_genetic,170,-0.48951386493284205,0.10783496974974661,-0.7008665219163116,-0.2781612079493725,5.639517125376374e-06,0.2565965228756698
stex,glottolog_genetic,68,-0.5525376407762655,0.24655517452100498,-1.0357769030394228,-0.06929837851310822,0.02502410606623954,0.30003231411532283
toefl,glottolog_genetic,102,-0.4465183473852826,0.1502965691859996,-0.7410942099897744,-0.15194248478079092,0.0029691384632763787,0.225834298756455
pooled,l2v_genetic,172,-0.5076738394997644,0.138246709989182,-0.7786324120597149,-0.23671526693981393,0.00024044228887189364,0.2537058095043344
stex,l2v_genetic,66,-0.6441498630988741,0.10618759664292007,-0.8522737281238638,-0.4360259980738844,1.3101298069367274e-09,0.40115082795468227
toefl,l2v_genetic,106,-0.4201831988901003,0.22763514001801455,-0.8663398749411413,0.025973477160940617,0.06491215354311078,0.17570592285831033
pooled,urielplus_genetic,172,-0.4948586148125417,0.2209641451726943,-0.9279403812257025,-0.0617768483993808,0.02512063314346644,0.2419107614060746
stex,urielplus_genetic,66,-0.6572909726646797,0.13383667806098284,-0.919606041474688,-0.39497590385467135,9.05473385411811e-07,0.4176852995795489
toefl,urielplus_genetic,106,-0.4093250800980003,0.33910590984740163,-1.073960450343594,0.2553102901475933,0.22740460855510392,0.16674228403795155
pooled,modality_hyperbolic,172,-0.26630814849200757,0.09336376236449562,-0.44929776018757517,-0.08331853679644,0.0043394333323225195,0.06497300681301976
stex,modality_hyperbolic,66,-0.2828551728017125,0.11909851392121436,-0.5162839706995349,-0.049426374903890125,0.017550466304778745,0.07735031846988238
toefl,modality_hyperbolic,106,-0.24484821438860377,0.12438577737603508,-0.4886398582346496,-0.0010565705425579497,0.04901533095889069,0.059662701971858856
pooled,l2v_geographic,172,-0.402057035242983,0.09810107193291856,-0.5943316030762765,-0.20978246740968945,4.1602318935597305e-05,0.15903784973727064
stex,l2v_geographic,66,-0.5791270180288774,0.12376418245631689,-0.8217003582193025,-0.33655367783845236,2.878868604901403e-06,0.3242511375469518
toefl,l2v_geographic,106,-0.2831989046857899,0.15031019880215307,-0.5778014808470655,0.01140367147548571,0.059551936890456916,0.07981640701593895
pooled,urielplus_geographic,172,-0.4808845377463184,0.06559016547180813,-0.6094388998110849,-0.3523301756815519,2.273258052942811e-13,0.22356542776260047
stex,urielplus_geographic,66,-0.6700243620569966,0.09908860221479016,-0.8642344536764011,-0.47581427043759206,1.362208150701459e-11,0.434025297139357
toefl,urielplus_geographic,106,-0.35001889727838054,0.08827475195131965,-0.5230342318471739,-0.17700356270958717,7.336282036778547e-05,0.12192479096896425
pooled,modality_speaker,172,-0.5236914517572742,0.07158425103458582,-0.6639940056453365,-0.3833888978692118,2.559752881042222e-13,0.2179055762747525
stex,modality_speaker,66,-0.6307210592144668,0.10273816629298962,-0.8320841649864134,-0.42935795344252015,8.298430235180078e-10,0.3845993262788392
toefl,modality_speaker,106,-0.337799984221291,0.0917046688799364,-0.5175378324401374,-0.15806213600244454,0.00022999582576751652,0.11356075862807746
pooled,grambank_typological,120,-0.3116771289192374,0.13150631160323345,-0.5694247634012768,-0.05392949443719802,0.01778546215591763,0.10245580625410122
stex,grambank_typological,48,-0.42265221477425197,0.7582895221107924,-1.908872367965494,1.06356793841699,0.5772707090427122,0.1841218771447375
toefl,grambank_typological,72,-0.2301571401611237,0.2082235878182842,-0.6382678730166739,0.17795359269442645,0.26901379026844496,0.05664195138374328
pooled,qwals_typological,165,-0.4366162340792942,0.07920541857595613,-0.591856001868588,-0.28137646629000035,3.5386450063950916e-08,0.1759216994315711
stex,qwals_typological,65,-0.52707586621233,0.1113730693005191,-0.7453630708890311,-0.30878866153562906,2.2174367482302676e-06,0.2620775854276779
toefl,qwals_typological,100,-0.3691281787372154,0.10275995784281393,-0.570533995161985,-0.1677223623124458,0.00032797327001126135,0.13245800391847473
pooled,l2v_featural,172,-0.1548482712099626,0.0779956962994385,-0.307717026905986,-0.001979515513939184,0.047106235295734905,0.023732306927900182
stex,l2v_featural,66,-0.18506432911190457,0.1661186760872157,-0.5106509514023225,0.14052229317851334,0.26525820700458613,0.03311153310485904
toefl,l2v_featural,106,-0.1391678095825252,0.09068366494892709,-0.31690452686851955,0.038568907703469185,0.1248694899842123,0.019274655241540928
pooled,l2v_syntactic,172,-0.3476899626615012,0.08186823924614829,-0.5081487630616605,-0.18723116226134198,2.1670449967819455e-05,0.11834263475670292
stex,l2v_syntactic,66,-0.5732732375717786,0.1960046681137085,-0.9574353278763736,-0.1891111472671836,0.003446845383008836,0.3177292451141581
toefl,l2v_syntactic,106,-0.22305826676367135,0.085729121769431,-0.3910842578580048,-0.05503227566933788,0.009270993760807351,0.04951601453470689
