pair_id,n,Speaking,new_feat,new_sounds,AaA,LoR,Edu.day,Enroll,prop_female,C,L1_code,L2_code,featural_dist,script_dist,geographic_dist,genetic_dist,syntactic_dist,morphological_dist,phonological_dist,inventory_dist,z_featural_dist,z_script_dist,z_geographic_dist,z_genetic_dist,z_syntactic_dist,z_morphological_dist,z_phonological_dist,z_inventory_dist
afri1274__stan1293,277,545.476534296029,,,28.5884476534296,2.64259927797834,3.24548736462094,90.3032490974729,0.696750902527076,SouthAfrica,afri1274,stan1293,0.5915,0.4161,0.3303,0.6638,0.6176,0.6902,0.3881,0.4922,0.483060467299114,1.16556907436714,2.04343599199002,-1.01150452706202,0.50532490171062,0.35628210000905,0.645249657672237,0.0235260749825228
afri1274__stan1295,2,540.5,,,33,2.5,3.5,56,0.5,Afghanistan,afri1274,stan1295,0.5261,0.3776,0.3044,0.439,0.5804,0.5848,0.3789,0.3574,-0.350733319340471,0.918572220909388,1.79900026249353,-2.24348404401887,0.100235809843294,-0.653897431544735,0.544316141083808,-1.80991339880031
afri1274__russ1263,1,524,,,20,4,2,19,1,Afghanistan,afri1274,russ1263,0.617,0.5,0.3456,0.879,0.6566,0.656,0.432,0.4858,0.808163549245741,1.70382974982443,2.18783238817907,0.167863764971405,0.9300150786683,0.0285008857857158,1.12687806834963,-0.063521496473042
afri1274__stan1290,13,506.076923076923,,,28.1538461538462,4.07692307692308,3.15384615384615,27.2307692307692,0.0769230769230769,Rwanda,afri1274,stan1290,0.5798,0.3776,0.3116,0.9304,0.6426,0.6326,0.3789,0.4069,0.33389552381772,0.918572220909388,1.86695150775896,0.449553031748905,0.777562194632209,-0.19577047131446,0.544316141083808,-1.13665483832367
afri1274__afri1274,1,526,,,32,3,4,93,1,SouthAfrica,afri1274,afri1274,0,0,0,0,0,0,0,0,-7.05805611981579,-1.50392159378278,-1.0738273845618,-4.64935151707962,-6.22002518262434,-6.25876450984315,-3.61260879754184,-6.67097621727199
afri1274__dutc1256,1,617,,,23,11,4,93,1,SouthAfrica,afri1274,dutc1256,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,-0.0294549795343921,0.918572220909388,1.96038446999894,-2.15908687070421,0.34089357678598,-0.330908340336361,0.544316141083808,-1.24682442094712
alba1267__stan1293,139,514.26618705036,11,21,25.0791366906475,3.49640287769784,3.12230215827338,81.7553956834533,0.482014388489209,Albania,alba1267,stan1293,0.5618,0.1789,0.0811,0.7837,0.5887,0.6564,0.3141,0.4961,0.104410995384807,-0.356188163040118,-0.308432108030305,-0.354412249112171,0.190618591093262,0.0323345841976841,-0.166606888799914,0.0765706888382569
alba1267__stan1295,16,512.75,11,21,22.5625,4.125,2.875,88.375,0.25,Yugoslavia,alba1267,stan1295,0.4458,0.2566,0.0385,0.7323,0.4384,0.3871,0.3931,0.4904,-1.37448929896063,0.142296395756443,-0.710476975850794,-0.636101515889671,-1.44607201395134,-2.54870287166033,0.700104829731166,-0.000956054489355049
alba1267__croa1245,16,493.1875,11,21,27.625,4.5625,3.3125,85,0.375,Yugoslavia,alba1267,croa1245,0.4324,0.2566,0.0177,0.7532,0.43,0.5792,0.319,0.348,-1.54532778123847,0.142296395756443,-0.906780573284272,-0.521562494962633,-1.53754374437299,-0.707569209312298,-0.112848820182163,-1.93776451937567
alba1267__mode1248,8,522.125,11,21,23.875,2.875,2.75,78,0.625,Albania,alba1267,mode1248,0.443,0.2566,0.0154,0.7048,0.413,0.5216,0.2566,0.4603,-1.41018689227242,0.142296395756443,-0.928487221077397,-0.786810753951563,-1.72266510355967,-1.25962178063581,-0.797441367477598,-0.410351663991307
alba1267__stan1290,7,495.714285714286,11,21,28.2857142857143,2.28571428571429,2.85714285714286,81,0.714285714285714,Albania,alba1267,stan1290,0.4909,0.2566,0.0643,0.8136,0.4717,0.5533,0.3931,0.5086,-0.799503063831501,0.142296395756443,-0.466985013649653,-0.190550204819423,-1.08345193977978,-0.955801181487279,0.700104829731166,0.246585476837407
alba1267__ital1282,22,508,11,21,24.5,3,2.95454545454545,78.6363636363636,0.454545454545455,Albania,alba1267,ital1282,0.4724,0.2566,0.0261,0.7837,0.4628,0.5629,0.319,0.4522,-1.03536216249866,0.142296395756443,-0.827504120474598,-0.354412249112171,-1.18036841605987,-0.863792419600028,-0.112848820182163,-0.520521246614756
alba1267__serb1264,40,511.075,11,21,27.2,4,3,85.075,0.325,Yugoslavia,alba1267,serb1264,0.4324,0.2566,0.0107,0.7532,0.43,0.5792,0.319,0.348,-1.54532778123847,0.142296395756443,-0.972844283959,-0.521562494962633,-1.53754374437299,-0.707569209312298,-0.112848820182163,-1.93776451937567
alba1267__nucl1301,2,495,11,21,23,2,2.5,95.5,0.5,Albania,alba1267,nucl1301,0.5107,0.2566,0.0446,1,0.6046,0.4359,0.2566,0.443,-0.547070082555296,0.142296395756443,-0.652907170834245,0.83098441244373,0.363761509391393,-2.08099166540013,-0.797441367477598,-0.64565213058213
alba1267__dutc1256,3,537,11,21,24,3.33333333333333,3,80.3333333333333,0.666666666666667,Albania,alba1267,dutc1256,0.5256,0.2566,0.0648,0.7837,0.5478,0.5745,0.3931,0.5027,-0.357107889574719,0.142296395756443,-0.462266177172886,-0.354412249112171,-0.25476162012646,-0.752615165652932,0.700104829731166,0.166338496901809
alba1267__alba1267,3,499.333333333333,11,21,25.6666666666667,3.66666666666667,2.66666666666667,82.6666666666667,0.666666666666667,Yugoslavia,alba1267,alba1267,0,0,0,0,0,0,0,0,-7.05805611981579,-1.50392159378278,-1.0738273845618,-4.64935151707962,-6.22002518262434,-6.25876450984315,-3.61260879754184,-6.67097621727199
alba1267__russ1263,1,491,11,21,22,4,3,85,0,Yugoslavia,alba1267,russ1263,0.5049,0.4259,0.1597,0.6667,0.5073,0.5541,0.3695,0.4706,-0.621015097272568,1.22844100070185,0.433368986117359,-0.995611552866403,-0.695786034659435,-0.948133784663342,0.441188417613021,-0.270259478680008
alba1267__port1283,1,505,11,21,22,3,3,78,0,Albania,alba1267,port1283,0.4414,0.2566,0.0824,0.805,0.403,0.5629,0.3695,0.4409,-1.43058551702201,0.142296395756443,-0.296163133190712,-0.237681093813323,-1.83156002072831,-0.863792419600028,0.441188417613021,-0.674214614965987
amha1245__stan1293,128,489.2734375,18,19,25.015625,4.953125,3.1875,25.671875,0.328125,Ethiopia,amha1245,stan1293,0.6184,0.5933,0.2286,1,0.6721,0.6894,0.3729,0.492,0.826012345901634,2.30239615054154,1.08362465261576,0.83098441244373,1.09880220027969,0.348614703185112,0.478489934613093,0.020805838374536
amha1245__stan1288,3,514.333333333333,18,19,26.6666666666667,11.6666666666667,4,25,0,Ethiopia,amha1245,stan1288,0.5435,0.572,0.2018,1,0.6077,0.5382,0.3862,0.4554,-0.128898275188655,2.16574594330387,0.830695017461082,0.83098441244373,0.39751893371367,-1.1005232965391,0.624404692289844,-0.476997460886974
amha1245__russ1263,3,507,18,19,26.3333333333333,4.66666666666667,3,23,0.333333333333333,Ethiopia,amha1245,russ1263,0.5733,0.6983,0.2171,1,0.617,0.6169,0.3277,0.4949,0.251026110772502,2.97602393269905,0.97509141365013,0.83098441244373,0.498791206680502,-0.346243133984237,-0.0174008207996264,0.0602492691903388
amha1245__ital1282,1,481,18,19,25,2,3,25,0,Ethiopia,amha1245,ital1282,0.5301,0.572,0.1736,1,0.548,0.6658,0.2677,0.4249,-0.29973675746649,2.16574594330387,0.564552640171462,0.83098441244373,-0.252583721783086,0.122426496878951,-0.675662885506775,-0.891833543604899
nucl1235__russ1263,375,512.568,21,23,26.3626666666667,4.94933333333333,2.62933333333333,88.3066666666667,0.690666666666667,USSR,nucl1235,russ1263,0.5034,0.2952,0.1045,0.8136,0.5346,0.5023,0.3064,0.4693,-0.640138807975312,0.38993479948292,-0.0875905609176416,-0.190550204819423,-0.398502910789059,-1.4445977290133,-0.251083853770664,-0.28794101663192
nucl1235__stan1293,74,515.378378378378,21,23,26.9594594594595,4.05405405405405,3,75.6756756756757,0.648648648648649,USSR,nucl1235,stan1293,0.621,0.2677,0.1503,0.8767,0.6576,0.7211,0.439,0.5064,0.859160111119722,0.213508475584523,0.344654860354152,0.155258992333501,0.940904570385163,0.652435302333641,1.20367530923214,0.216662874149556
nucl1235__stan1290,9,509.222222222222,21,23,27.4444444444444,6.44444444444445,2.66666666666667,83.4444444444445,0.777777777777778,Armenia,nucl1235,stan1290,0.5742,0.195,0.1415,0.8934,0.6382,0.5776,0.3445,0.5006,0.262500337194148,-0.252898569775966,0.261603338363065,0.246780602356541,0.72964843107801,-0.722904002960174,0.166912557318375,0.137776012517952
nucl1235__nucl1301,9,517.555555555556,21,23,17.3333333333333,11.5555555555556,2.66666666666667,80.2222222222222,0.333333333333333,Turkey,nucl1235,nucl1301,0.4979,0.195,0.0426,1,0.5232,0.4407,0.4034,0.4963,-0.710259080552035,-0.252898569775966,-0.67178251674131,0.83098441244373,-0.522643116361304,-2.0349872844565,0.81310648417256,0.0792909254462438
nucl1235__stan1295,7,538.571428571429,21,23,23,3.14285714285714,2.71428571428571,79.8571428571429,0.857142857142857,Turkey,nucl1235,stan1295,0.5117,0.195,0.1113,0.8485,0.5329,0.5559,0.3445,0.4819,-0.534320942086801,-0.252898569775966,-0.0234143848336198,0.000713519120942566,-0.417015046707727,-0.930882141809483,0.166912557318375,-0.116566110328777
nucl1235__serb1264,1,498,21,23,26,9,3,84,0,Russia,nucl1235,serb1264,0.5067,0.195,0.0801,0.86,0.5583,0.501,0.359,0.4263,-0.598066644429277,-0.252898569775966,-0.317869780983837,0.0637373823104609,-0.140421957099391,-1.4570572488522,0.32599255628927,-0.872791887348994
nucl1235__roma1326,5,508.2,21,23,28.8,4.2,2.8,90,0.8,USSR,nucl1235,roma1326,0.5415,0.195,0.118,0.8886,0.5782,0.5996,0.4034,0.4533,-0.154396556125645,-0.252898569775966,0.0398180239550487,0.220474989894828,0.0762789280661945,-0.512050590301888,0.81310648417256,-0.505559945270831
nucl1235__kurd1259,2,482.5,21,23,28,4,1.5,63,0.5,Iraq,nucl1235,kurd1259,0.5426,0.4196,0.0187,0.8485,0.6045,0.4813,0.4246,0.4757,-0.140372501610301,1.18802333377239,-0.89734290033074,0.000713519120942566,0.362672560219707,-1.64586689564167,1.04569241370242,-0.200893445176355
nucl1235__port1283,1,533,21,23,13,6,2,79,0,Turkey,nucl1235,port1283,0.5233,0.195,0.1635,0.8886,0.5287,0.5866,0.4034,0.4975,-0.386430912652257,-0.252898569775966,0.469232143340783,0.220474989894828,-0.462750911918555,-0.636645788690875,0.81310648417256,0.0956123450941618
