term,estimate,std.error,statistic,p.value,conf.low,conf.high,dataset,outcome,model_name,model_block,n,r.squared,adj.r.squared,AIC,BIC,p_adj_fdr
(Intercept),20.6415094339623,0.282772365189327,72.9969119158514,3.64787504097754e-91,20.0807612223393,21.2022576455853,toefl,Reading,z_featural_dist,single_distance,106,0.0859580505970533,0.077169185698948,531.340433868516,539.330751150852,
z_featural_dist,-0.888530074394059,0.284115709402336,-3.12735285304416,0.00228791141390067,-1.45194218800244,-0.325117960785682,toefl,Reading,z_featural_dist,single_distance,106,0.0859580505970533,0.077169185698948,531.340433868516,539.330751150852,0.0076263713796689
(Intercept),20.6415094339623,0.294650290070483,70.0542647659524,2.41995355316826e-89,20.0572068515632,21.2258120163613,toefl,Reading,z_script_dist,single_distance,106,0.00755614963278508,-0.0019865796976688,540.0635947013,548.053911983636,
z_script_dist,-0.263438429116698,0.29605006179769,-0.889844195664187,0.375603326219151,-0.850516811379343,0.323639953145947,toefl,Reading,z_script_dist,single_distance,106,0.00755614963278508,-0.0019865796976688,540.0635947013,548.053911983636,0.441886266140178
(Intercept),20.6415094339623,0.28183600780462,73.2394330829146,2.60052537958431e-91,20.0826180541713,21.2004008137532,toefl,Reading,z_geographic_dist,single_distance,106,0.0920014479960891,0.0832706926883592,530.637263469202,538.627580751539,
z_geographic_dist,-0.919234222682252,0.283174903738982,-3.24617121978282,0.00157431256416483,-1.48078068335507,-0.357687762009434,toefl,Reading,z_geographic_dist,single_distance,106,0.0920014479960891,0.0832706926883592,530.637263469202,538.627580751539,0.00629725025665934
(Intercept),20.6415094339623,0.279240122355002,73.9202850216504,1.01140166369141e-91,20.0877657924324,21.1952530754921,toefl,Reading,z_genetic_dist,single_distance,106,0.10865088360326,0.100080219022522,528.675563042161,536.665880324497,
z_genetic_dist,-0.998953986866252,0.280566686222565,-3.56048681443888,0.000559784448815599,-1.55532825432678,-0.442579719405722,toefl,Reading,z_genetic_dist,single_distance,106,0.10865088360326,0.100080219022522,528.675563042161,536.665880324497,0.00373189632543733
(Intercept),20.6415094339623,0.281778640465885,73.2543439056776,2.54706336118901e-91,20.0827318157568,21.2002870521677,toefl,Reading,z_syntactic_dist,single_distance,106,0.0923710541336401,0.083643852731079,530.594106763141,538.584424045477,
z_syntactic_dist,-0.921078835291937,0.283117263869788,-3.25334747412493,0.0015386975767,-1.48251099394112,-0.359646676642752,toefl,Reading,z_syntactic_dist,single_distance,106,0.0923710541336401,0.083643852731079,530.594106763141,538.584424045477,0.00629725025665934
(Intercept),20.6415094339623,0.285919023386681,72.193550430698,1.12795277395799e-90,20.0745212810509,21.2084975868736,toefl,Reading,z_morphological_dist,single_distance,106,0.0655021586162957,0.0565166024491446,533.686515976371,541.676833258707,
z_morphological_dist,-0.775633680730753,0.28727731617883,-2.69994753170112,0.00809660841603233,-1.3453153792209,-0.205951982240603,toefl,Reading,z_morphological_dist,single_distance,106,0.0655021586162957,0.0565166024491446,533.686515976371,541.676833258707,0.0202415210400808
(Intercept),20.6415094339623,0.272341760871714,75.792670826144,7.8615747808978e-93,20.101445502125,21.1815733657995,toefl,Reading,z_phonological_dist,single_distance,106,0.152146765479131,0.143994330531815,523.372528498092,531.362845780428,
z_phonological_dist,-1.18211632573855,0.273635553241356,-4.32003923370249,3.57665824718933e-05,-1.72474589639629,-0.639486755080801,toefl,Reading,z_phonological_dist,single_distance,106,0.152146765479131,0.143994330531815,523.372528498092,531.362845780428,0.000715331649437866
(Intercept),20.6415094339623,0.294314259521102,70.1342485666491,2.15439900027729e-89,20.0578732127526,21.2251456551719,toefl,Reading,z_inventory_dist,single_distance,106,0.00981850131032225,0.000297525361383055,539.821683760317,547.812001042653,
z_inventory_dist,-0.300297318669106,0.295712434894671,-1.0155045349245,0.3122220708474,-0.886706174113115,0.286111536774903,toefl,Reading,z_inventory_dist,single_distance,106,0.00981850131032225,0.000297525361383055,539.821683760317,547.812001042653,0.441886266140178
(Intercept),20.6415094339623,0.263660900748837,78.288094197271,3.15265696961168e-92,20.1184771308796,21.1645417370449,toefl,Reading,mechanistic_block,mechanistic_block,106,0.228258781568807,0.197694772918067,519.402352538409,535.382987103081,
z_syntactic_dist,-0.8452425066297,0.405768469591455,-2.08306600924593,0.0397708323337956,-1.65017799978012,-0.0403070134792813,toefl,Reading,mechanistic_block,mechanistic_block,106,0.228258781568807,0.197694772918067,519.402352538409,535.382987103081,0.0723106042432647
z_morphological_dist,-0.157291097720746,0.344012838761479,-0.457224498617634,0.648491646351461,-0.83972003138666,0.525137835945168,toefl,Reading,mechanistic_block,mechanistic_block,106,0.228258781568807,0.197694772918067,519.402352538409,535.382987103081,0.648491646351461
z_phonological_dist,-1.28282739180319,0.339235621250816,-3.78152325829816,0.000264174188291395,-1.95577961098533,-0.609875172621037,toefl,Reading,mechanistic_block,mechanistic_block,106,0.228258781568807,0.197694772918067,519.402352538409,535.382987103081,0.00264174188291395
z_inventory_dist,1.06738588221386,0.376569395717333,2.83449981425225,0.00554387230286748,0.320373497165132,1.81439826726259,toefl,Reading,mechanistic_block,mechanistic_block,106,0.228258781568807,0.197694772918067,519.402352538409,535.382987103081,0.0158396351510499
(Intercept),20.6415094339623,0.259357415979667,79.5871186331549,3.69173761991836e-90,20.1267567570027,21.1562621109218,toefl,Reading,all8_block,all8_block,106,0.282820387612475,0.223671553601133,519.630117729724,546.264508670844,
z_featural_dist,-3.25370061274813,3.60461077253029,-0.902649639052198,0.368947925951155,-10.4078551895448,3.90045396404851,toefl,Reading,all8_block,all8_block,106,0.282820387612475,0.223671553601133,519.630117729724,546.264508670844,0.441886266140178
