term,estimate,std.error,statistic,p.value,conf.low,conf.high,dataset,outcome,model_name,model_block,family_name,n,AIC,BIC,p_adj_fdr
z_featural_dist,0.283886050192521,0.443026976876046,0.640787277096107,0.52206521344536,-0.587335644162847,1.15510774454789,stex,Speaking,z_featural_dist,single_distance,gaussian_pair_weighted,536,5234.0583304225,5975.21354028775,0.659450795930981
AaA,-0.906288112673062,0.287946967897581,-3.14741328686405,0.00178347163637013,-1.47254176843274,-0.340034456913379,stex,Speaking,z_featural_dist,single_distance,gaussian_pair_weighted,536,5234.0583304225,5975.21354028775,0.00402894265544343
LoR,0.228157345782587,0.511871146831687,0.445731991722536,0.65605657617181,-0.77844782977335,1.23476252133852,stex,Speaking,z_featural_dist,single_distance,gaussian_pair_weighted,536,5234.0583304225,5975.21354028775,0.705838937987119
Edu.day,3.80020195632725,2.571872575988,1.47760118125891,0.140381635940134,-1.257438549265,8.85784246191949,stex,Speaking,z_featural_dist,single_distance,gaussian_pair_weighted,536,5234.0583304225,5975.21354028775,0.216732555270051
prop_female,16.191647310634,5.01420511062772,3.22915536030137,0.00135477334476456,6.33110946454098,26.0521851567271,stex,Speaking,z_featural_dist,single_distance,gaussian_pair_weighted,536,5234.0583304225,5975.21354028775,0.00402894265544343
Enroll,0.395020266108565,0.113917223483189,3.46760791766365,0.000588120661915133,0.17099969481263,0.6190408374045,stex,Speaking,z_featural_dist,single_distance,gaussian_pair_weighted,536,5234.0583304225,5975.21354028775,0.00402894265544343
z_script_dist,1.13571003064632,0.663596485313175,1.71144672369736,0.0878528751839994,-0.169266154730695,2.44068621602333,stex,Speaking,z_script_dist,single_distance,gaussian_pair_weighted,536,5232.35075325047,5973.50596311572,0.162189923416614
AaA,-0.933179188363414,0.289076799795927,-3.22813587607926,0.00135947434050546,-1.50165468187157,-0.36470369485526,stex,Speaking,z_script_dist,single_distance,gaussian_pair_weighted,536,5232.35075325047,5973.50596311572,0.00402894265544343
LoR,0.225849373847426,0.507874087197103,0.444695603774279,0.656804770816249,-0.772895501435518,1.22459424913037,stex,Speaking,z_script_dist,single_distance,gaussian_pair_weighted,536,5232.35075325047,5973.50596311572,0.705838937987119
Edu.day,3.63542322477249,2.5732451660721,1.41277763685523,0.158577924556322,-1.42491650755118,8.69576295709615,stex,Speaking,z_script_dist,single_distance,gaussian_pair_weighted,536,5232.35075325047,5973.50596311572,0.230658799354651
