model_name,repeat_id,fold,n_test,rmse,mae,oos_r2,poisson_dev,dataset,outcome,scheme
baseline_mean,1,1,22,2.78278974765128,2.47402597402597,0,,toefl,Reading,5fold
baseline_mean,1,2,21,3.19740997507202,2.75070028011205,0,,toefl,Reading,5fold
baseline_mean,1,3,21,2.64847892190391,1.96862745098039,0,,toefl,Reading,5fold
baseline_mean,1,4,21,3.4132866305093,2.92100840336135,0,,toefl,Reading,5fold
baseline_mean,1,5,21,3.10676712633269,2.48739495798319,0,,toefl,Reading,5fold
ridge_mechanistic,1,1,22,2.78278974765128,2.47402597402597,0,,toefl,Reading,5fold
ridge_mechanistic,1,2,21,3.19740997507202,2.75070028011205,0,,toefl,Reading,5fold
ridge_mechanistic,1,3,21,2.54718311656533,1.85399111107948,0.0750307544797189,,toefl,Reading,5fold
ridge_mechanistic,1,4,21,3.4132866305093,2.92100840336135,0,,toefl,Reading,5fold
ridge_mechanistic,1,5,21,3.27662053397938,2.62308918420642,-0.112333187352027,,toefl,Reading,5fold
ridge_all8,1,1,22,2.46409919413485,2.07723605905103,0.215928651717634,,toefl,Reading,5fold
ridge_all8,1,2,21,3.19740997507202,2.75070028011205,0,,toefl,Reading,5fold
ridge_all8,1,3,21,2.46791344341616,1.79678274896588,0.131705988871802,,toefl,Reading,5fold
ridge_all8,1,4,21,3.4132866305093,2.92100840336135,0,,toefl,Reading,5fold
ridge_all8,1,5,21,3.05910149083547,2.39991321589337,0.0304496462725609,,toefl,Reading,5fold
baseline_mean,1,1,22,2.70495662673261,2.42857142857143,0,,toefl,Listening,5fold
baseline_mean,1,2,21,3.10651360192401,2.57647058823529,0,,toefl,Listening,5fold
baseline_mean,1,3,21,2.71530329287878,2.05434173669468,0,,toefl,Listening,5fold
baseline_mean,1,4,21,2.94983487449472,2.30420168067227,0,,toefl,Listening,5fold
baseline_mean,1,5,21,2.88784248300073,2.3781512605042,0,,toefl,Listening,5fold
ridge_mechanistic,1,1,22,2.60807737013375,2.3428768000104,0.0703481662180823,,toefl,Listening,5fold
ridge_mechanistic,1,2,21,3.10651360192401,2.57647058823529,0,,toefl,Listening,5fold
ridge_mechanistic,1,3,21,2.69722517220378,2.03547505699253,0.013271401309556,,toefl,Listening,5fold
ridge_mechanistic,1,4,21,2.94983487449472,2.30420168067227,0,,toefl,Listening,5fold
ridge_mechanistic,1,5,21,3.19505365764103,2.56982447137591,-0.224078613315823,,toefl,Listening,5fold
ridge_all8,1,1,22,2.70495662673261,2.42857142857143,0,,toefl,Listening,5fold
ridge_all8,1,2,21,3.10651360192401,2.57647058823529,0,,toefl,Listening,5fold
ridge_all8,1,3,21,2.6865553030386,2.02545835778904,0.0210626980390511,,toefl,Listening,5fold
ridge_all8,1,4,21,2.93195869955962,2.28994787355632,0.0120833947331011,,toefl,Listening,5fold
ridge_all8,1,5,21,3.13160273102849,2.53497606868749,-0.175943143548892,,toefl,Listening,5fold
baseline_mean,1,1,22,1.55894540015611,1.31493506493506,0,,toefl,Speaking,5fold
baseline_mean,1,2,21,2.8146850275388,1.84985994397759,0,,toefl,Speaking,5fold
baseline_mean,1,3,21,2.63982703388407,1.9484593837535,0,,toefl,Speaking,5fold
baseline_mean,1,4,21,2.35403895959662,1.94173669467787,0,,toefl,Speaking,5fold
baseline_mean,1,5,21,3.04748382876826,2.21064425770308,0,,toefl,Speaking,5fold
ridge_mechanistic,1,1,22,1.5223229714978,1.27767193157564,0.0464317292028076,,toefl,Speaking,5fold
