dataset,outcome,scheme,model_name,mean_rmse,sd_rmse,mean_mae,sd_mae,mean_oos_r2,sd_oos_r2
toefl,Reading,5fold,baseline_mean,3.02974648029384,0.311247029344408,2.52035141329259,0.360977190759762,0,0
toefl,Reading,5fold,ridge_mechanistic,3.04345800075546,0.363688015865,2.52456299055705,0.409339432953209,-0.00746048657446159,0.0670262351598663
toefl,Reading,5fold,ridge_all8,2.92036214679356,0.433550562951472,2.38912814147673,0.464192060832208,0.0756168573723993,0.0952749776974909
toefl,Listening,5fold,baseline_mean,2.87289017580617,0.168641087781836,2.34834733893557,0.192192955426549,0,0
toefl,Listening,5fold,ridge_mechanistic,2.91134093527946,0.253910127768482,2.36576971945728,0.223294912110487,-0.0280918091576369,0.113347332147434
toefl,Listening,5fold,ridge_all8,2.91231739245666,0.212221003089253,2.37108486336791,0.222704524434085,-0.0285594101553479,0.0828665129843158
toefl,Speaking,5fold,baseline_mean,2.48299604998877,0.57527374404446,1.85312706900942,0.329552637511267,0,0
toefl,Speaking,5fold,ridge_mechanistic,2.46485722079162,0.582238388311932,1.8353719871899,0.333830133890328,0.0170203505672503,0.0193392806508564
toefl,Speaking,5fold,ridge_all8,2.47142340727058,0.561496190929057,1.83738882072464,0.309478056543033,0.00752278093468626,0.0168214495497976
toefl,Writing,5fold,baseline_mean,2.12019877007439,0.31695724305811,1.66361599185129,0.227182558815924,0,0
toefl,Writing,5fold,ridge_mechanistic,2.10037152545064,0.341256244023122,1.63623977187418,0.240061066143334,0.0217187396319892,0.0376418451426247
toefl,Writing,5fold,ridge_all8,2.11550477799213,0.339755584149965,1.65985428138542,0.252565483928725,0.00700585499038184,0.0427078928656297
toefl,Total,5fold,baseline_mean,9.58009622870943,0.91197427761018,7.82088107970461,0.663013770563363,0,0
toefl,Total,5fold,ridge_mechanistic,9.46936113009181,1.01361698982903,7.67151467881761,1.05788464979018,0.0208839904279482,0.0921980937647444
toefl,Total,5fold,ridge_all8,10.0285227468141,1.63950245136374,7.98251666736086,0.961424282624492,-0.0985941026640946,0.233877907212615
