model_name,repeat_id,fold,n_test,rmse,mae,oos_r2,poisson_dev,dataset,outcome,scheme
baseline_mean,1,1,3359,37.2289520227524,28.3366628315778,0,,stex,Speaking,pair_5fold
baseline_mean,1,2,6294,36.0829509715884,27.8247564033149,0,,stex,Speaking,pair_5fold
baseline_mean,1,3,4823,35.7190341653862,27.3975706380014,0,,stex,Speaking,pair_5fold
baseline_mean,1,4,7750,32.1259812971065,24.4833849969002,0,,stex,Speaking,pair_5fold
baseline_mean,1,5,9719,43.0675979188364,33.5124741814779,0,,stex,Speaking,pair_5fold
ridge_baseline,1,1,3359,32.9104402343896,24.8273863724972,0.218541784770432,,stex,Speaking,pair_5fold
ridge_baseline,1,2,6294,30.9146002864243,23.8080277679523,0.265954171800886,,stex,Speaking,pair_5fold
ridge_baseline,1,3,4823,32.1057357718987,24.6099324257953,0.192084686425342,,stex,Speaking,pair_5fold
ridge_baseline,1,4,7750,30.2595805826077,23.079114601172,0.112817423870759,,stex,Speaking,pair_5fold
ridge_baseline,1,5,9719,34.9610691741152,26.7892740429188,0.341026254835533,,stex,Speaking,pair_5fold
ridge_baseline_plus_mechanistic,1,1,3359,32.9591447668037,24.8735030847467,0.216227095582029,,stex,Speaking,pair_5fold
ridge_baseline_plus_mechanistic,1,2,6294,30.7091215340467,23.6165928410519,0.275679645149273,,stex,Speaking,pair_5fold
ridge_baseline_plus_mechanistic,1,3,4823,32.0233947454636,24.5510194636722,0.196223465206071,,stex,Speaking,pair_5fold
ridge_baseline_plus_mechanistic,1,4,7750,30.2732212256361,23.0319090424928,0.112017381818219,,stex,Speaking,pair_5fold
ridge_baseline_plus_mechanistic,1,5,9719,35.1748926903911,26.9040528931072,0.332940977433607,,stex,Speaking,pair_5fold
ridge_baseline_plus_all8,1,1,3359,32.9743603442792,24.9008202365405,0.215503271578133,,stex,Speaking,pair_5fold
ridge_baseline_plus_all8,1,2,6294,30.8069280191068,23.6620518334767,0.271058474638544,,stex,Speaking,pair_5fold
ridge_baseline_plus_all8,1,3,4823,32.0083851580816,24.5421022256507,0.196976759908721,,stex,Speaking,pair_5fold
ridge_baseline_plus_all8,1,4,7750,30.3019553941103,23.0689099416545,0.110330904446203,,stex,Speaking,pair_5fold
ridge_baseline_plus_all8,1,5,9719,35.0512159262923,26.8148938040778,0.337623559721172,,stex,Speaking,pair_5fold
baseline_mean,1,1,2500,4.35113049194845,3.00271194986779,,1.3032766659505,stex,new_feat,pair_5fold
baseline_mean,1,2,5151,3.4997301676352,2.60406173533639,,0.911472855769193,stex,new_feat,pair_5fold
baseline_mean,1,3,7794,7.4985768236469,7.11630453224444,,4.63934017015829,stex,new_feat,pair_5fold
baseline_mean,1,4,6065,5.69944353191241,4.76275844696897,,2.31094393469656,stex,new_feat,pair_5fold
baseline_mean,1,5,8597,5.55665112122114,4.68152203743568,,2.19404909320238,stex,new_feat,pair_5fold
ridge_baseline,1,1,2500,4.37408008838302,3.44342908558252,,1.43382505640423,stex,new_feat,pair_5fold
ridge_baseline,1,2,5151,2.27362683373151,1.56526465054746,,0.390270023729107,stex,new_feat,pair_5fold
ridge_baseline,1,3,7794,3.43663742804509,2.83132625265968,,1.04513416232904,stex,new_feat,pair_5fold
ridge_baseline,1,4,6065,3.5189374238612,1.9556438767724,,0.805210054252672,stex,new_feat,pair_5fold
ridge_baseline,1,5,8597,2.71312996319861,2.17240593334862,,0.515097423208743,stex,new_feat,pair_5fold
ridge_baseline_plus_mechanistic,1,1,2500,4.54582095368589,3.62428991143742,,1.53613954389591,stex,new_feat,pair_5fold
ridge_baseline_plus_mechanistic,1,2,5151,3.20434323297071,2.56169663171282,,0.715979627697989,stex,new_feat,pair_5fold
ridge_baseline_plus_mechanistic,1,3,7794,3.4169067678642,2.80913193346294,,1.01550324009415,stex,new_feat,pair_5fold
ridge_baseline_plus_mechanistic,1,4,6065,3.46687173419673,1.97202908903043,,0.770053810342483,stex,new_feat,pair_5fold
ridge_baseline_plus_mechanistic,1,5,8597,2.40992190380849,1.81206383014889,,0.399430548982047,stex,new_feat,pair_5fold
ridge_baseline_plus_all8,1,1,2500,4.66525979578067,3.79961911815973,,1.5889087023614,stex,new_feat,pair_5fold
ridge_baseline_plus_all8,1,2,5151,3.48758372993943,2.81597745088182,,0.833540880498361,stex,new_feat,pair_5fold
ridge_baseline_plus_all8,1,3,7794,3.81802185531653,3.23040543037386,,1.29370834301663,stex,new_feat,pair_5fold
ridge_baseline_plus_all8,1,4,6065,3.67187286922141,2.06080253007404,,0.869172018735832,stex,new_feat,pair_5fold
ridge_baseline_plus_all8,1,5,8597,2.31320900078966,1.52059971915735,,0.372524465817685,stex,new_feat,pair_5fold
baseline_mean,1,1,2500,3.42695687685179,2.81710853044518,,0.580334923618204,stex,new_sounds,pair_5fold
baseline_mean,1,2,5151,2.9082117487898,2.49162646623034,,0.438103304298887,stex,new_sounds,pair_5fold
baseline_mean,1,3,7794,5.661445570934,4.7631012993216,,1.79705191216906,stex,new_sounds,pair_5fold
baseline_mean,1,4,6065,3.36541455026181,2.68657827641967,,0.626241482915588,stex,new_sounds,pair_5fold
baseline_mean,1,5,8597,4.29195680332028,3.57748884431862,,0.922923314997591,stex,new_sounds,pair_5fold
ridge_baseline,1,1,2500,1.47024763011174,0.893954241666515,,0.111065652458722,stex,new_sounds,pair_5fold
ridge_baseline,1,2,5151,1.53710636740009,1.08848554270635,,0.127929636035978,stex,new_sounds,pair_5fold
ridge_baseline,1,3,7794,2.1938536077961,1.82643765201272,,0.301174740883954,stex,new_sounds,pair_5fold
ridge_baseline,1,4,6065,1.56627625828884,0.923421571468816,,0.131147537149793,stex,new_sounds,pair_5fold
ridge_baseline,1,5,8597,2.02829978455123,1.62157475225264,,0.204318136380881,stex,new_sounds,pair_5fold
ridge_baseline_plus_mechanistic,1,1,2500,1.81038497054394,1.33446843800851,,0.16253983429363,stex,new_sounds,pair_5fold
ridge_baseline_plus_mechanistic,1,2,5151,1.46822747108923,0.947841931439753,,0.115332896855694,stex,new_sounds,pair_5fold
ridge_baseline_plus_mechanistic,1,3,7794,1.88499495764805,1.51702366056824,,0.222249431279512,stex,new_sounds,pair_5fold
ridge_baseline_plus_mechanistic,1,4,6065,1.51218167946867,1.02920857608276,,0.12288412698766,stex,new_sounds,pair_5fold
ridge_baseline_plus_mechanistic,1,5,8597,1.56412813655776,1.1963577585084,,0.124828656704242,stex,new_sounds,pair_5fold
ridge_baseline_plus_all8,1,1,2500,1.97608305610807,1.49255159691244,,0.192805182193773,stex,new_sounds,pair_5fold
ridge_baseline_plus_all8,1,2,5151,1.44594355234427,0.897061553125253,,0.111061114238852,stex,new_sounds,pair_5fold
ridge_baseline_plus_all8,1,3,7794,2.19407770385617,1.85856025773948,,0.30157459419852,stex,new_sounds,pair_5fold
ridge_baseline_plus_all8,1,4,6065,1.44232771669074,0.999532275190821,,0.112308007277855,stex,new_sounds,pair_5fold
ridge_baseline_plus_all8,1,5,8597,1.53450495145083,1.1116994599951,,0.119696949467565,stex,new_sounds,pair_5fold
