measure,n_unadjusted,beta_unadjusted,se_unadjusted,p_unadjusted,partial_r2_unadjusted,n_adjusted,beta_adjusted,se_adjusted,p_adjusted,partial_r2_adjusted,attenuation
asjp_lexical,35681,-0.3848106792896594,0.06110865137639535,3.031571550903517e-10,0.15007547615971195,35681,-0.052958061140397666,0.05452062871354992,0.3313790541358793,0.00039433494229335064,0.8623789203611617
concepts_lexical,48561,-0.24629514927532237,0.06933401452123464,0.00038188067667794704,0.06076437560262271,48561,-0.01804236896876025,0.030918285059042396,0.5595230271005518,0.00024494001389496756,0.9267449276940835
glottolog_genetic,49872,-0.3073978913196968,0.13451048661528528,0.022294774103626208,0.09439940809137803,49872,0.01106608410922493,0.029253575390399418,0.7052215446523513,4.497632990818623e-05,1.0359992193235839
l2v_genetic,40520,-0.40922143487686186,0.031436081516258776,9.721387635550319e-39,0.17011831297717994,40520,-0.14358917100681692,0.04043191115935116,0.00038321344230697374,0.003316469876450512,0.6491162026983652
urielplus_genetic,40520,-0.40780258681156906,0.028425340257428853,1.1213962707339768e-46,0.16894069334408657,40520,-0.14585183559858717,0.045269980058344025,0.0012737806674905036,0.002818152978121269,0.6423469582698355
modality_hyperbolic,40520,-0.19099661662593567,0.06608478180970982,0.003850268227071611,0.03705831493452749,40520,0.032531605826157606,0.025991347334271286,0.21070393564927037,0.0006800821353111219,1.1703255607394885
l2v_geographic,40520,-0.2870915731813729,0.0852861030883946,0.0007620659343435381,0.08372886610444052,40520,0.01442020386886858,0.02158017167525542,0.5039960823020055,0.00013285569201604286,1.0502285863324816
urielplus_geographic,40520,-0.2988429784159713,0.080078016941212,0.00019004257727444008,0.09072363275421591,40520,0.024535765886726395,0.0303003174615807,0.4180822844755677,0.0002687788874055075,1.0821025343033963
modality_speaker,40520,-0.2631044536531752,0.09247183212110834,0.004437812580391207,0.07032191984017422,40520,-0.08600857468720781,0.02781560150641372,0.0019874700951452383,0.004862335236213711,0.6731010308149915
grambank_typological,34443,-0.20923225030054704,0.04194944797456673,6.109490097328554e-07,0.047314794997903364,34443,0.011224196228210373,0.03682278929916755,0.7605058628449634,4.150825092230637e-05,1.0536446757710038
qwals_typological,47137,-0.40916470723352705,0.03923399667409944,1.8312801117388041e-25,0.16435164168857408,47137,0.09450107014628395,0.05378080690853655,0.07889184816437847,0.0014800512092353335,1.2309609516060933
l2v_featural,40520,-0.3033153545617759,0.1031884715967731,0.003288158627230382,0.09345942643929661,40520,-0.02196103630419573,0.03197819907671597,0.4922401234315331,0.00027078684541026465,0.9275966878237186
l2v_syntactic,40520,-0.40105189946922015,0.050598333357408765,2.259755197727224e-15,0.16339376299819597,40520,-0.03661488531852426,0.04529912233194407,0.41892292439010437,0.0004358583002683769,0.9087028751964947
urielplus_featural,40520,-0.3844503049647533,0.04624849270252014,9.354096429571712e-17,0.15014633615839024,40520,-0.012449973695208044,0.038308628953160666,0.745187605423856,4.815364794785726e-05,0.9676161690225491
urielplus_syntactic,40520,-0.38416421531179945,0.060578826101104766,2.2745124154797155e-10,0.1499229557630709,40520,-0.025107373843871836,0.03464908343367938,0.46868598267471495,0.0002614513326146817,0.934644162982505
urielplus_morphological,40520,-0.2655015875634674,0.10538444412185642,0.011756764091751744,0.07160915750067853,40520,-0.003398302506705906,0.0273266647663515,0.9010314458810629,6.819087567389026e-06,0.9872004437416272
modality_island,40520,-0.19091282920222788,0.17297366536742037,0.2697187932869868,0.03702580818413026,40520,0.0032263760284617065,0.02749686228043696,0.9065936772602033,7.799262038310495e-06,1.0168997339882493
l2v_inventory,40520,-0.2838745071452614,0.09168424329681718,0.0019600546005974803,0.08186289633296229,40520,0.0032570047375353878,0.04427991572140018,0.9413645590976695,4.172368909483026e-06,1.0114733963619662
l2v_phonological,40520,-0.01107095249960607,0.062135199829072105,0.8585853749506112,0.00012451001757751712,40520,-0.0031301948387342828,0.02273707469636433,0.8905018639779538,1.3054204075158005e-05,0.7172605664376519
phoible_phonological,46257,-0.19330961882250544,0.16010682810759083,0.22728622681702326,0.03742154555735433,46257,0.012076533033053116,0.030929708536693596,0.6962031439204387,8.69203816662445e-05,1.0624724889874293
urielplus_inventory,40520,-0.28557224906284273,0.09007456331054367,0.0015223007246231539,0.08284500402967732,40520,0.04049298872994206,0.05658805590015404,0.47425391729939204,0.00046658349557293644,1.1417959513322011
urielplus_phonological,40520,-0.28155120566261355,0.09952289998188295,0.004669234788596258,0.08052840596535871,40520,-0.08307371372855903,0.026698205541228457,0.0018608641684190123,0.0046877310002821915,0.7049427881757774
scripts_script,49872,-0.22375503019433937,0.07368628755993294,0.0023927081481417574,0.050016479275779124,49872,0.04500014398709028,0.015784807756444922,0.004360231809263501,0.001564869068439112,1.2011134406587687
urielplus_script,40520,-0.1988185881370327,0.0891401456933545,0.02572059660092017,0.04015580073565106,40520,0.04707940991546756,0.030992729657825603,0.12875069107924064,0.0014720590413874746,1.2367958165109731
