fold,model,n_train,n_test,rmse,mae,r2,spearman,extended_model
0,baseline_mean,40192,10043,1.0983164930521558,0.8627305309949055,-0.3952479532886426,,baseline_mean
0,all_distances_ridge,40192,10043,1.1478028345750522,0.9085442414922581,-0.5238105265310451,-0.004640836535644743,distances_only
1,baseline_mean,40194,10041,1.0390165217027387,0.7943862653257069,-0.014358421164507362,,baseline_mean
1,all_distances_ridge,40194,10041,1.4839382038833444,1.2368863684555367,-1.0690841976228396,-0.14457542336726129,distances_only
2,baseline_mean,40180,10055,0.9122320942283074,0.6939657779275107,-0.037437637262728085,,baseline_mean
2,all_distances_ridge,40180,10055,0.9978320584997367,0.7635264739118636,-0.24126986077980717,0.30194892695101916,distances_only
3,baseline_mean,40196,10039,1.072120557682922,0.8366665297658676,-0.26565506402540406,,baseline_mean
3,all_distances_ridge,40196,10039,1.1798573435847772,0.9346260773581764,-0.5328057253112386,-0.48374131031543904,distances_only
4,baseline_mean,40178,10057,0.8514576010663971,0.6590331621693419,-0.0001107115657486002,,baseline_mean
4,all_distances_ridge,40178,10057,0.9052988834134295,0.7062356473961268,-0.13059222499550494,-0.10186761524602297,distances_only
0,baseline_mean,40192,10043,1.0983164930521558,0.8627305309949055,-0.3952479532886426,,baseline_mean
0,all_distances_ridge,40192,10043,1.0006189836291093,0.7588215117654581,-0.15806746208194178,0.0027081580487705007,confounders_only
1,baseline_mean,40194,10041,1.0390165217027387,0.7943862653257069,-0.014358421164507362,,baseline_mean
1,all_distances_ridge,40194,10041,1.1368208605148442,0.8776863888705401,-0.21431287747078076,-0.06552050423511567,confounders_only
2,baseline_mean,40180,10055,0.9122320942283074,0.6939657779275107,-0.037437637262728085,,baseline_mean
2,all_distances_ridge,40180,10055,0.8634240507023893,0.6549793529530119,0.07060659119138424,0.2592281191200506,confounders_only
3,baseline_mean,40196,10039,1.072120557682922,0.8366665297658676,-0.26565506402540406,,baseline_mean
3,all_distances_ridge,40196,10039,1.170308283148405,0.9289597659986768,-0.5080949013973868,-0.2858225507224511,confounders_only
4,baseline_mean,40178,10057,0.8514576010663971,0.6590331621693419,-0.0001107115657486002,,baseline_mean
4,all_distances_ridge,40178,10057,0.89808179538677,0.702701863676395,-0.11263780252927491,0.009416041424532262,confounders_only
0,baseline_mean,40192,10043,1.0983164930521558,0.8627305309949055,-0.3952479532886426,,baseline_mean
0,all_distances_ridge,40192,10043,1.1001397938196533,0.8515513797425529,-0.3998842639963289,-0.0031422297963254993,confounders_plus_distances
1,baseline_mean,40194,10041,1.0390165217027387,0.7943862653257069,-0.014358421164507362,,baseline_mean
1,all_distances_ridge,40194,10041,1.4917988647394407,1.2198477199651065,-1.0910628037609413,-0.2467173739447072,confounders_plus_distances
2,baseline_mean,40180,10055,0.9122320942283074,0.6939657779275107,-0.037437637262728085,,baseline_mean
2,all_distances_ridge,40180,10055,0.9243612818357192,0.7010947032934823,-0.06520892586992533,0.25603439617260065,confounders_plus_distances
3,baseline_mean,40196,10039,1.072120557682922,0.8366665297658676,-0.26565506402540406,,baseline_mean
3,all_distances_ridge,40196,10039,1.2579811450814158,1.010441912305304,-0.7425144075329595,-0.3380123402149251,confounders_plus_distances
4,baseline_mean,40178,10057,0.8514576010663971,0.6590331621693419,-0.0001107115657486002,,baseline_mean
4,all_distances_ridge,40178,10057,0.9224270006378676,0.7283356102594757,-0.1737781985023923,-0.03686870788651491,confounders_plus_distances
