fold,model,n_train,n_test,rmse,mae,r2,spearman,extended_model
0,baseline_mean,40192,10043,1.0983164930521558,0.8627305309949055,-0.3952479532886426,,baseline_mean
0,all_distances_ridge,40192,10043,1.1478028301035426,0.9085442369897873,-0.52381051465839,-0.004640836535644743,distances_only
1,baseline_mean,40194,10041,1.0390165217027387,0.7943862653257069,-0.014358421164507362,,baseline_mean
1,all_distances_ridge,40194,10041,1.4839382079786214,1.2368863725992927,-1.06908420904309,-0.14457542336726129,distances_only
2,baseline_mean,40180,10055,0.9122320942283074,0.6939657779275107,-0.037437637262728085,,baseline_mean
2,all_distances_ridge,40180,10055,0.9978320565441375,0.7635264720115106,-0.24126985591440686,0.30194892695101916,distances_only
3,baseline_mean,40196,10039,1.072120557682922,0.8366665297658676,-0.26565506402540406,,baseline_mean
3,all_distances_ridge,40196,10039,1.1798573370874776,0.9346260731358368,-0.5328057084293707,-0.48374131031543904,distances_only
4,baseline_mean,40178,10057,0.8514576010663971,0.6590331621693419,-0.0001107115657486002,,baseline_mean
4,all_distances_ridge,40178,10057,0.9052988802309226,0.706235644766054,-0.13059221704648927,-0.10186761524602297,distances_only
0,baseline_mean,40192,10043,1.0983164930521558,0.8627305309949055,-0.3952479532886426,,baseline_mean
0,all_distances_ridge,40192,10043,1.0854728297335245,0.8321514631815631,-0.362806818731535,-0.010519218740485867,confounders_only
1,baseline_mean,40194,10041,1.0390165217027387,0.7943862653257069,-0.014358421164507362,,baseline_mean
1,all_distances_ridge,40194,10041,1.0692587150579176,0.8187050959444677,-0.07426673904985681,0.05909650217007387,confounders_only
2,baseline_mean,40180,10055,0.9122320942283074,0.6939657779275107,-0.037437637262728085,,baseline_mean
2,all_distances_ridge,40180,10055,0.9798298414154881,0.7569681994617955,-0.1968855637392024,-0.13122069033132702,confounders_only
3,baseline_mean,40196,10039,1.072120557682922,0.8366665297658676,-0.26565506402540406,,baseline_mean
3,all_distances_ridge,40196,10039,1.2708394526306421,1.0354116615724869,-0.7783182752046436,-0.35869460979429,confounders_only
4,baseline_mean,40178,10057,0.8514576010663971,0.6590331621693419,-0.0001107115657486002,,baseline_mean
4,all_distances_ridge,40178,10057,0.9217170386169323,0.7210452400369107,-0.17197205613052846,0.017058220830848656,confounders_only
0,baseline_mean,40192,10043,1.0983164930521558,0.8627305309949055,-0.3952479532886426,,baseline_mean
0,all_distances_ridge,40192,10043,1.1339193226148454,0.8824087797484973,-0.48717027199668683,-0.006289686130423176,confounders_plus_distances
1,baseline_mean,40194,10041,1.0390165217027387,0.7943862653257069,-0.014358421164507362,,baseline_mean
1,all_distances_ridge,40194,10041,1.3818242557671363,1.1208361091988948,-0.7941227602436105,-0.13833737189869594,confounders_plus_distances
2,baseline_mean,40180,10055,0.9122320942283074,0.6939657779275107,-0.037437637262728085,,baseline_mean
2,all_distances_ridge,40180,10055,1.012880586111967,0.7787473888928652,-0.2789919139734858,0.19059218274759226,confounders_plus_distances
3,baseline_mean,40196,10039,1.072120557682922,0.8366665297658676,-0.26565506402540406,,baseline_mean
3,all_distances_ridge,40196,10039,1.198769483865248,0.9542578874648281,-0.5823387795081463,-0.30050472158905084,confounders_plus_distances
4,baseline_mean,40178,10057,0.8514576010663971,0.6590331621693419,-0.0001107115657486002,,baseline_mean
4,all_distances_ridge,40178,10057,0.9038504643668115,0.709361181150993,-0.12697737173746337,-0.015828973896761078,confounders_plus_distances
