"L1","C","L1L2","L2","AaA","LoR","Edu.day","Sex","Family","ISO639.3","Enroll","Speaking","morph","lex","new_feat","new_sounds"
"Afrikaans","SouthAfrica","AfrikaansEnglish","English",25,0,4,"Female","Indo-European","afr ",93,496,NA,0.010463,NA,NA
"Afrikaans","SouthAfrica","AfrikaansGerman","German",47,2,4,"Male","Indo-European","afr ",93,542,NA,0.010463,NA,NA
"Afrikaans","SouthAfrica","AfrikaansMonolingual","Monolingual",23,23,3,"Female","Indo-European","afr ",93,585,NA,0.010463,NA,NA
"Afrikaans","SouthAfrica","AfrikaansMonolingual","Monolingual",42,2,2,"Female","Indo-European","afr ",93,521,NA,0.010463,NA,NA
"Afrikaans","SouthAfrica","AfrikaansMonolingual","Monolingual",22,19,3,"Female","Indo-European","afr ",93,639,NA,0.010463,NA,NA
"Afrikaans","SouthAfrica","AfrikaansMonolingual","Monolingual",37,2,1,"Male","Indo-European","afr ",93,531,NA,0.010463,NA,NA
"Afrikaans","SouthAfrica","AfrikaansMonolingual","Monolingual",22,6,4,"Female","Indo-European","afr ",93,566,NA,0.010463,NA,NA
"Afrikaans","Sudan","AfrikaansEnglish","English",31,3,4,"Male","Indo-European","afr ",31,439,NA,0.010463,NA,NA
"Afrikaans","Sudan","AfrikaansEnglish","English",25,4,4,"Male","Indo-European","afr ",31,480,NA,0.010463,NA,NA
"Afrikaans","Afghanistan","AfrikaansMonolingual","Monolingual",23,3,4,"Female","Indo-European","afr ",19,505,NA,0.010463,NA,NA
"Afrikaans","Afghanistan","AfrikaansRussian","Russian",20,4,2,"Female","Indo-European","afr ",19,524,NA,0.010463,NA,NA
"Afrikaans","Congo,Republic","AfrikaansFrench","French",28,2,3,"Male","Indo-European","afr ",43,540,NA,0.010463,NA,NA
"Afrikaans","Morocco","AfrikaansFrench","French",17,13,2,"Male","Indo-European","afr ",49,561,NA,0.010463,NA,NA
"Afrikaans","Afghanistan","AfrikaansGerman","German",19,3,3,"Female","Indo-European","afr ",19,539,NA,0.010463,NA,NA
"Afrikaans","SouthAfrica","AfrikaansEnglish","English",21,1,3,"Male","Indo-European","afr ",93,518,NA,0.010463,NA,NA
"Afrikaans","Burundi","AfrikaansEnglish","English",16,2,3,"Male","Indo-European","afr ",13,491,NA,0.010463,NA,NA
"Afrikaans","Kenya","AfrikaansEnglish","English",38,2,4,"Female","Indo-European","afr ",48,527,NA,0.010463,NA,NA
