dataset,observation,native_language,native_code,target_language,target_code,speaking_score,asjp_lexical,concepts_lexical,glottolog_genetic,grambank_typological,l2v_featural,l2v_genetic,l2v_geographic,l2v_inventory,l2v_phonological,l2v_syntactic,modality_hyperbolic,modality_island,modality_speaker,phoible_phonological,qwals_typological,scripts_script,urielplus_featural,urielplus_genetic,urielplus_geographic,urielplus_inventory,urielplus_morphological,urielplus_phonological,urielplus_script,urielplus_syntactic
stex,stex_00001,Afrikaans,afri1274,Dutch,dutc1256,496,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00002,Afrikaans,afri1274,Dutch,dutc1256,542,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00003,Afrikaans,afri1274,Dutch,dutc1256,585,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00004,Afrikaans,afri1274,Dutch,dutc1256,521,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00005,Afrikaans,afri1274,Dutch,dutc1256,639,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00006,Afrikaans,afri1274,Dutch,dutc1256,531,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00007,Afrikaans,afri1274,Dutch,dutc1256,566,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00008,Afrikaans,afri1274,Dutch,dutc1256,439,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00009,Afrikaans,afri1274,Dutch,dutc1256,480,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00010,Afrikaans,afri1274,Dutch,dutc1256,505,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00011,Afrikaans,afri1274,Dutch,dutc1256,524,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00012,Afrikaans,afri1274,Dutch,dutc1256,540,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
