observation,auxiliary_language,auxiliary_code,native_auxiliary_label,country,country_name,country_code,age_at_arrival,residence_length,target_education_days,sex,language_family,iso639_3,course_enrolment,morphology_score,lexicon_score,new_feature_score,new_sound_score,hdi,gdp_per_capita,adult_literacy,internet_use,education_expenditure,tertiary_enrolment,female_tertiary_enrolment,male_tertiary_enrolment,urban_population,auxiliary_target_distance_concepts_lexical,auxiliary_target_distance_glottolog_genetic,auxiliary_target_distance_grambank_typological,auxiliary_target_distance_phoible_phonological,auxiliary_target_distance_qwals_typological,auxiliary_target_distance_scripts_script,auxiliary_target_distance_urielplus_featural,auxiliary_target_distance_urielplus_genetic,auxiliary_target_distance_urielplus_geographic,auxiliary_target_distance_urielplus_inventory,auxiliary_target_distance_urielplus_morphological,auxiliary_target_distance_urielplus_phonological,auxiliary_target_distance_urielplus_script,auxiliary_target_distance_urielplus_syntactic,native_auxiliary_distance_l2v_featural,native_auxiliary_distance_l2v_genetic,native_auxiliary_distance_l2v_geographic,native_auxiliary_distance_l2v_inventory,native_auxiliary_distance_l2v_phonological,native_auxiliary_distance_l2v_syntactic,native_auxiliary_distance_modality_hyperbolic,native_auxiliary_distance_modality_island,native_auxiliary_distance_modality_speaker,native_auxiliary_distance_urielplus_featural,native_auxiliary_distance_urielplus_genetic,native_auxiliary_distance_urielplus_geographic,native_auxiliary_distance_urielplus_inventory,native_auxiliary_distance_urielplus_morphological,native_auxiliary_distance_urielplus_phonological,native_auxiliary_distance_urielplus_script,native_auxiliary_distance_urielplus_syntactic
stex_00001,English,stan1293,AfrikaansEnglish,SouthAfrica,South Africa,ZAF,25,0,4,Female,Indo-European,afr,93,,0.010463,,,,,,,,,,,,0,0,0,,0.150146880707183,0,0.5343,0.7068,0.0174,0.4861,0.6462,0.3548,0.1864,0.5416,0.6,0.6,0.4,0.5144,0.5687,0.63,16.763762,0.240640412095399,0.512526162044283,0.5915,0.6638,0.3303,0.4922,0.6902,0.3881,0.4161,0.6176
stex_00002,German,stan1295,AfrikaansGerman,SouthAfrica,South Africa,ZAF,47,2,4,Male,Indo-European,afr,93,,0.010463,,,,,,,,,,,,0.04,0.583333333333333,,0.42,0.0598101314110091,0.666666666666667,0.3577,0.5236,0.0268,0.3086,0.4278,0.2421,0,0.3856,0.5,0.2857,0.4,0.3771,0.5456,0.52,21.528923,0.156555901996224,0.453073525645154,0.5261,0.439,0.3044,0.3574,0.5848,0.3789,0.3776,0.5804
stex_00003,Monolingual,,AfrikaansMonolingual,SouthAfrica,South Africa,ZAF,23,23,3,Female,Indo-European,afr,93,,0.010463,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1,1,0.669,2e-04,0.71,,,,,,,,,,,
stex_00004,Monolingual,,AfrikaansMonolingual,SouthAfrica,South Africa,ZAF,42,2,2,Female,Indo-European,afr,93,,0.010463,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1,1,0.669,2e-04,0.71,,,,,,,,,,,
stex_00005,Monolingual,,AfrikaansMonolingual,SouthAfrica,South Africa,ZAF,22,19,3,Female,Indo-European,afr,93,,0.010463,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1,1,0.669,2e-04,0.71,,,,,,,,,,,
stex_00006,Monolingual,,AfrikaansMonolingual,SouthAfrica,South Africa,ZAF,37,2,1,Male,Indo-European,afr,93,,0.010463,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1,1,0.669,2e-04,0.71,,,,,,,,,,,
stex_00007,Monolingual,,AfrikaansMonolingual,SouthAfrica,South Africa,ZAF,22,6,4,Female,Indo-European,afr,93,,0.010463,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1,1,0.669,2e-04,0.71,,,,,,,,,,,
stex_00008,English,stan1293,AfrikaansEnglish,Sudan,Sudan,SDN,31,3,4,Male,Indo-European,afr,31,,0.010463,,,,,,,,,,,,0,0,0,,0.150146880707183,0,0.5343,0.7068,0.0174,0.4861,0.6462,0.3548,0.1864,0.5416,0.6,0.6,0.4,0.5144,0.5687,0.63,16.763762,0.240640412095399,0.512526162044283,0.5915,0.6638,0.3303,0.4922,0.6902,0.3881,0.4161,0.6176
stex_00009,English,stan1293,AfrikaansEnglish,Sudan,Sudan,SDN,25,4,4,Male,Indo-European,afr,31,,0.010463,,,,,,,,,,,,0,0,0,,0.150146880707183,0,0.5343,0.7068,0.0174,0.4861,0.6462,0.3548,0.1864,0.5416,0.6,0.6,0.4,0.5144,0.5687,0.63,16.763762,0.240640412095399,0.512526162044283,0.5915,0.6638,0.3303,0.4922,0.6902,0.3881,0.4161,0.6176
stex_00010,Monolingual,,AfrikaansMonolingual,Afghanistan,Afghanistan,AFG,23,3,4,Female,Indo-European,afr,19,,0.010463,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1,1,0.669,2e-04,0.71,,,,,,,,,,,
