L1,C,L1L2,L2,AaA,LoR,Edu.day,Sex,Family,ISO639.3,Enroll,Speaking,Morph_Score,Lex_Score,New_Feature_Score,New_Sound_Score,L1_code,L2_code,featural_dist_l1l2,script_dist_l1l2,geographic_dist_l1l2,genetic_dist_l1l2,syntactic_dist_l1l2,morphological_dist_l1l2,phonological_dist_l1l2,inventory_dist_l1l2,island_dist_l1l2,speaker_dist_l1l2,hyperbolic_dist_l1l2,l2v_genetic_dist_l1l2,l2v_geographic_dist_l1l2,l2v_syntactic_dist_l1l2,l2v_inventory_dist_l1l2,l2v_phonological_dist_l1l2,l2v_featural_dist_l1l2,featural_dist_l1dutch,script_dist_l1dutch,geographic_dist_l1dutch,genetic_dist_l1dutch,syntactic_dist_l1dutch,morphological_dist_l1dutch,phonological_dist_l1dutch,inventory_dist_l1dutch,featural_dist_l2dutch,script_dist_l2dutch,geographic_dist_l2dutch,genetic_dist_l2dutch,syntactic_dist_l2dutch,morphological_dist_l2dutch,phonological_dist_l2dutch,inventory_dist_l2dutch,island_dist_l1dutch,speaker_dist_l1dutch,hyperbolic_dist_l1dutch,l2v_genetic_dist_l1dutch,l2v_geographic_dist_l1dutch,l2v_syntactic_dist_l1dutch,l2v_inventory_dist_l1dutch,l2v_phonological_dist_l1dutch,l2v_featural_dist_l1dutch,asjp_dist_l1dutch
Afrikaans,SouthAfrica,AfrikaansEnglish,English,25,0,4,Female,Indo-European,afr ,93,496,,0.010463,,,afri1274,stan1293,0.5915,0.4161,0.3303,0.6638,0.6176,0.6902,0.3881,0.4922,0.240640412095399,0.512526162044283,16.763762,0.6,0.4,0.63,0.5144,0.5687,0.6,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,0.5343,0.1864,0.0174,0.7068,0.5416,0.6462,0.3548,0.4861,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,SouthAfrica,AfrikaansGerman,German,47,2,4,Male,Indo-European,afr ,93,542,,0.010463,,,afri1274,stan1295,0.5261,0.3776,0.3044,0.439,0.5804,0.5848,0.3789,0.3574,0.156555901996224,0.453073525645154,21.528923,0.2857,0.4,0.52,0.3771,0.5456,0.5,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,0.3577,0,0.0268,0.5236,0.3856,0.4278,0.2421,0.3086,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,SouthAfrica,AfrikaansMonolingual,Monolingual,23,23,3,Female,Indo-European,afr ,93,585,,0.010463,,,afri1274,"",,,,,,,,,,,,1,1,0.71,0.669,2e-04,0.7,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,,,,,,,,,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,SouthAfrica,AfrikaansMonolingual,Monolingual,42,2,2,Female,Indo-European,afr ,93,521,,0.010463,,,afri1274,"",,,,,,,,,,,,1,1,0.71,0.669,2e-04,0.7,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,,,,,,,,,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,SouthAfrica,AfrikaansMonolingual,Monolingual,22,19,3,Female,Indo-European,afr ,93,639,,0.010463,,,afri1274,"",,,,,,,,,,,,1,1,0.71,0.669,2e-04,0.7,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,,,,,,,,,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,SouthAfrica,AfrikaansMonolingual,Monolingual,37,2,1,Male,Indo-European,afr ,93,531,,0.010463,,,afri1274,"",,,,,,,,,,,,1,1,0.71,0.669,2e-04,0.7,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,,,,,,,,,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,SouthAfrica,AfrikaansMonolingual,Monolingual,22,6,4,Female,Indo-European,afr ,93,566,,0.010463,,,afri1274,"",,,,,,,,,,,,1,1,0.71,0.669,2e-04,0.7,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,,,,,,,,,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,Sudan,AfrikaansEnglish,English,31,3,4,Male,Indo-European,afr ,31,439,,0.010463,,,afri1274,stan1293,0.5915,0.4161,0.3303,0.6638,0.6176,0.6902,0.3881,0.4922,0.240640412095399,0.512526162044283,16.763762,0.6,0.4,0.63,0.5144,0.5687,0.6,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,0.5343,0.1864,0.0174,0.7068,0.5416,0.6462,0.3548,0.4861,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,Sudan,AfrikaansEnglish,English,25,4,4,Male,Indo-European,afr ,31,480,,0.010463,,,afri1274,stan1293,0.5915,0.4161,0.3303,0.6638,0.6176,0.6902,0.3881,0.4922,0.240640412095399,0.512526162044283,16.763762,0.6,0.4,0.63,0.5144,0.5687,0.6,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,0.5343,0.1864,0.0174,0.7068,0.5416,0.6462,0.3548,0.4861,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,Afghanistan,AfrikaansMonolingual,Monolingual,23,3,4,Female,Indo-European,afr ,19,505,,0.010463,,,afri1274,"",,,,,,,,,,,,1,1,0.71,0.669,2e-04,0.7,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,,,,,,,,,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,Afghanistan,AfrikaansRussian,Russian,20,4,2,Female,Indo-European,afr ,19,524,,0.010463,,,afri1274,russ1263,0.617,0.5,0.3456,0.879,0.6566,0.656,0.432,0.4858,0.212677491485166,0.548697599969375,21.930439,0.8,0.5,0.63,0.4783,0.6162,0.6,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,0.5109,0.3498,0.1739,0.8934,0.5281,0.4591,0.3064,0.5297,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,"Congo,Republic",AfrikaansFrench,French,28,2,3,Male,Indo-European,afr ,43,540,,0.010463,,,afri1274,stan1290,0.5798,0.3776,0.3116,0.9304,0.6426,0.6326,0.3789,0.4069,0.179121929586274,0.389704288225762,23.43583,0.9375,0.4,0.65,0.403,0.5456,0.5,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,0.4357,0,0.0203,0.9386,0.47,0.5441,0.3445,0.3411,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,Morocco,AfrikaansFrench,French,17,13,2,Male,Indo-European,afr ,49,561,,0.010463,,,afri1274,stan1290,0.5798,0.3776,0.3116,0.9304,0.6426,0.6326,0.3789,0.4069,0.179121929586274,0.389704288225762,23.43583,0.9375,0.4,0.65,0.403,0.5456,0.5,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,0.4357,0,0.0203,0.9386,0.47,0.5441,0.3445,0.3411,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,Afghanistan,AfrikaansGerman,German,19,3,3,Female,Indo-European,afr ,19,539,,0.010463,,,afri1274,stan1295,0.5261,0.3776,0.3044,0.439,0.5804,0.5848,0.3789,0.3574,0.156555901996224,0.453073525645154,21.528923,0.2857,0.4,0.52,0.3771,0.5456,0.5,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,0.3577,0,0.0268,0.5236,0.3856,0.4278,0.2421,0.3086,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,SouthAfrica,AfrikaansEnglish,English,21,1,3,Male,Indo-European,afr ,93,518,,0.010463,,,afri1274,stan1293,0.5915,0.4161,0.3303,0.6638,0.6176,0.6902,0.3881,0.4922,0.240640412095399,0.512526162044283,16.763762,0.6,0.4,0.63,0.5144,0.5687,0.6,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,0.5343,0.1864,0.0174,0.7068,0.5416,0.6462,0.3548,0.4861,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
Afrikaans,Burundi,AfrikaansEnglish,English,16,2,3,Male,Indo-European,afr ,13,491,,0.010463,,,afri1274,stan1293,0.5915,0.4161,0.3303,0.6638,0.6176,0.6902,0.3881,0.4922,0.240640412095399,0.512526162044283,16.763762,0.6,0.4,0.63,0.5144,0.5687,0.6,0.5513,0.3776,0.3215,0.4544,0.6025,0.6185,0.3789,0.3988,0.5343,0.1864,0.0174,0.7068,0.5416,0.6462,0.3548,0.4861,0.160069057697869,0.457065212865054,14.825356,0.4,0.4,0.48,0.3948,2e-04,0.4,0.0979945691681306
