dataset,observation,native_language,native_code,target_language,target_code,speaking_score,asjp_lexical,concepts_lexical,glottolog_genetic,grambank_typological,l2v_featural,l2v_genetic,l2v_geographic,l2v_inventory,l2v_phonological,l2v_syntactic,modality_hyperbolic,modality_island,modality_speaker,phoible_phonological,qwals_typological,scripts_script,urielplus_featural,urielplus_genetic,urielplus_geographic,urielplus_inventory,urielplus_morphological,urielplus_phonological,urielplus_script,urielplus_syntactic
toefl,toefl_00001,Afrikaans,afri1274,English,stan1293,22,0.296874391491227,0.04,0.564393939393939,,0.6,0.6,0.4,0.5144,0.5687,0.63,16.763762,0.240640412095399,0.512526162044283,0.7,0.119345240294933,0.666666666666667,0.5915,0.6638,0.3303,0.4922,0.6902,0.3881,0.4161,0.6176
toefl,toefl_00002,Akan,akan1250,English,stan1293,21,,,1,,0.6,1,0.3,0.4969,0.5207,0.78,20.151758,0.206447714417622,0.39994415456284,,0.402400170603106,0.666666666666667,0.6619,1,0.2053,0.4969,0.7837,0.5096,0.4161,0.7287
toefl,toefl_00003,Albanian,alba1267,English,stan1293,23,,,,,0.6,1,1,0.5983,0.5687,0.57,16.834536,0.168655165511358,0.285904658148783,,0.19044817756204,,0.5618,0.7837,0.0811,0.4961,0.6564,0.3141,0.1789,0.5887
toefl,toefl_00004,Amharic,amha1245,English,stan1293,21,0.503618996145625,0.04,1,0.543358164784606,0.5,1,0.3,0.492,0.4816,0.61,21.115688,0.184890738204618,0.380675115958881,0.729411764705882,0.318158273135915,1,0.6184,1,0.2286,0.492,0.6894,0.3729,0.5933,0.6721
toefl,toefl_00005,Arabic,stan1318,English,stan1293,21,0.496845721165393,0.05,1,0.54824997463026,0.8,1,0.2,0.5983,0.5687,0.67,22.007307,0.185268650191994,0.315849726178265,0.793650793650794,0.302777787049611,1,0.6405,1,0.1832,0.5158,0.7252,0.3277,0.5574,0.6834
toefl,toefl_00006,Armenian,nucl1235,English,stan1293,22,0.488166806090352,0.0699999999999999,0.716666666666667,0.502570711032417,0.6,0.9,0.2,0.5064,0.5032,0.66,16.755886,0.186203601372036,0.256059564271076,0.694915254237288,0.277487243924822,1,0.621,0.8767,0.1503,0.5064,0.7211,0.439,0.2677,0.6576
toefl,toefl_00007,Assamese,assa1263,English,stan1293,24,,,0.833333333333333,,0.6,0.9,0.4,0.4638,0.5687,0.81,19.909649,0.18407811044221,0.342075561527491,0.56,0.38493589254526,0.75,0.6622,0.9248,0.2988,0.4638,0.6873,0.2677,0.6368,0.7969
toefl,toefl_00008,Azerbaijani,nort2697,English,stan1293,21,,,,,0.7,1,0.2,0.5491,0.5687,0.57,18.817411,0.208064628981427,0.313254744131402,,,,0.6532,1,0.1515,0.5491,0.7211,0.3277,0.641,0.7134
toefl,toefl_00009,Bambara,bamb1269,English,stan1293,17,,0.12,1,0.495433694306862,0.6,1,0.2,0.5032,0.39,0.67,20.85726,0.183352219990589,0.377180047069822,0.56140350877193,0.312703434425064,0.8,0.6251,1,0.1843,0.5032,0.6875,0.4878,0.4404,0.6806
toefl,toefl_00010,Belarusian,bela1254,English,stan1293,22,0.470658415255658,0.04,0.75,0.529728463363976,0.9,0.9,0.1,0.5983,0.5687,0.76,19.783377,0.168955655800941,0.276811985208209,,0.37962962962963,0.75,0.5928,0.8934,0.0725,0.4911,0.6946,0.2677,0.4161,0.6227
toefl,toefl_00011,Bemba,bemb1257,English,stan1293,22,,0.13,1,0.608580619450185,0.6,1,0.4,0.5043,0.5687,0.79,20.732475,0.22187437184817,0.455616950444458,0.638297872340426,0.379761934280396,0.666666666666667,0.6745,1,0.291,0.5043,0.737,0.5295,0.1864,0.7259
