Native.Language,Reading,Listening,Speaking,Writing,Total,code,L1_code,L2_code,urielplus_featural_dist,urielplus_script_dist,urielplus_geographic_dist,urielplus_genetic_dist,urielplus_syntactic_dist,urielplus_morphological_dist,urielplus_phonological_dist,urielplus_inventory_dist,modality_island_dist,modality_speaker_dist,modality_hyperbolic_dist,l2v_genetic_dist,l2v_geographic_dist,l2v_syntactic_dist,l2v_inventory_dist,l2v_phonological_dist,l2v_featural_dist,asjp_dist,phoible,grambank,glot_tree,scripts,concepts,qwals
Afrikaans,20,21,22,21,85,afri1274,afri1274,stan1293,0.5915,0.4161,0.3303,0.6638,0.6176,0.6902,0.3881,0.4922,0.2406404120953994,0.5125261620442828,16.763762,0.6,0.4,0.63,0.5144,0.5687,0.6,0.2968743914912273,0.7,-1.0,0.5643939393939393,0.6666666666666667,0.04,0.11934524029493332
Akan,18,19,21,20,78,akan1250,akan1250,stan1293,0.6619,0.4161,0.2053,1.0,0.7287,0.7837,0.5096,0.4969,0.2064477144176215,0.3999441545628402,20.151758,1.0,0.3,0.78,0.4969,0.5207,0.6,,-1.0,-1.0,1.0,0.6666666666666667,-1.0,0.4024001706031061
Albanian,19,21,23,21,84,alba1267,alba1267,stan1293,0.5618,0.1789,0.0811,0.7837,0.5887,0.6564,0.3141,0.4961,0.1686551655113584,0.2859046581487833,16.834536,1.0,1.0,0.57,0.5983,0.5687,0.6,,-1.0,-1.0,-1.0,-1.0,-1.0,0.19044817756204044
Amharic,18,21,21,19,79,amha1245,amha1245,stan1293,0.6184,0.5933,0.2286,1.0,0.6721,0.6894,0.3729,0.492,0.184890738204618,0.3806751159588813,21.115688,1.0,0.3,0.61,0.492,0.4816,0.5,0.503618996145625,0.7294117647058824,0.5433581647846062,1.0,1.0,0.04,0.31815827313591455
Arabic,19,21,21,20,81,stan1318,stan1318,stan1293,0.6405,0.5574,0.1832,1.0,0.6834,0.7252,0.3277,0.5158,0.1852686501919939,0.3158497261782654,22.007307,1.0,0.2,0.67,0.5983,0.5687,0.8,0.4968457211653928,0.7936507936507937,0.5482499746302602,1.0,1.0,0.05,0.3027777870496114
Armenian,19,21,22,21,84,nucl1235,nucl1235,stan1293,0.621,0.2677,0.1503,0.8767,0.6576,0.7211,0.439,0.5064,0.186203601372036,0.2560595642710764,16.755886,0.9,0.2,0.66,0.5064,0.5032,0.6,0.4881668060903522,0.6949152542372881,0.5025707110324167,0.7166666666666667,1.0,0.0699999999999999,0.2774872439248221
Assamese,23,24,24,23,94,assa1263,assa1263,stan1293,0.6622,0.6368,0.2988,0.9248,0.7969,0.6873,0.2677,0.4638,0.1840781104422103,0.3420755615274906,19.909649,0.9,0.4,0.81,0.4638,0.5687,0.6,,0.56,-1.0,0.8333333333333334,0.75,-1.0,0.3849358925452599
Azerbaijani,19,20,21,20,81,nort2697,nort2697,stan1293,0.6532,0.641,0.1515,1.0,0.7134,0.7211,0.3277,0.5491,0.2080646289814273,0.3132547441314021,18.817411,1.0,0.2,0.57,0.5491,0.5687,0.7,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Bambara,14,16,17,15,61,bamb1269,bamb1269,stan1293,0.6251,0.4404,0.1843,1.0,0.6806,0.6875,0.4878,0.5032,0.183352219990589,0.3771800470698224,20.85726,1.0,0.2,0.67,0.5032,0.39,0.6,,0.5614035087719298,0.4954336943068623,1.0,0.8,0.12,0.31270343442506426
Belarusian,22,24,22,22,90,bela1254,bela1254,stan1293,0.5928,0.4161,0.0725,0.8934,0.6227,0.6946,0.2677,0.4911,0.1689556558009406,0.2768119852082086,19.783377,0.9,0.1,0.76,0.5983,0.5687,0.9,0.4706584152556583,-1.0,0.5297284633639759,0.75,0.75,0.04,0.37962962962962965
Bemba,17,19,22,20,78,bemb1257,bemb1257,stan1293,0.6745,0.1864,0.291,1.0,0.7259,0.737,0.5295,0.5043,0.2218743718481695,0.455616950444458,20.732475,1.0,0.4,0.79,0.5043,0.5687,0.6,,0.6382978723404256,0.6085806194501846,1.0,0.6666666666666667,0.13,0.3797619342803955
Bengali,22,23,23,23,92,beng1280,beng1280,stan1293,0.615,0.6368,0.3019,0.9196,0.6748,0.6969,0.3729,0.4982,0.1903852543251383,0.338877478734136,18.103352,0.875,0.4,0.7,0.4982,0.4054,0.6,0.4860599116675795,0.696969696969697,-1.0,0.8257575757575757,1.0,0.12,0.32545005984422637
Berber,20,22,22,20,83,tach1250,tach1250,stan1293,0.6709,0.4404,0.1075,1.0,0.7413,0.7532,0.3729,0.5537,0.2050633886661879,0.3510628607525836,21.09826,1.0,0.1,0.88,0.5537,0.3433,0.6,,0.7285714285714286,-1.0,1.0,0.8,0.0799999999999999,0.5028239405432413
Bosnian,22,24,24,23,92,bosn1245,bosn1245,stan1293,0.5178,0.1864,0.0729,0.9196,0.5136,0.5779,0.4034,0.5093,0.1748784537187685,0.2817831795843915,23.954674,0.9,0.1,0.61,0.5983,0.5687,0.8,0.4479737536726882,-1.0,-1.0,0.8257575757575757,0.75,-1.0,0.5
Bulgarian,23,24,23,23,94,bulg1262,bulg1262,stan1293,0.5636,0.1864,0.0896,0.9131,0.5924,0.6236,0.2677,0.521,0.175280987395613,0.292407999546662,18.619728,0.8571,0.1,0.48,0.521,0.2804,0.5,0.4632172207161857,0.6666666666666667,-1.0,0.7916666666666667,0.75,0.0699999999999999,0.20196885329026443
Burmese,19,20,21,21,81,nucl1310,nucl1310,stan1293,0.6225,0.6368,0.319,1.0,0.7446,0.721,0.3141,0.3323,0.1755356076083333,0.3775163707790285,20.9274,1.0,0.4,0.73,0.3323,0.2566,0.5,0.4851617098001968,0.546875,0.5714285714285715,1.0,1.0,0.0899999999999999,0.3588757668772051
Catalan,24,25,23,22,94,stan1289,stan1289,stan1293,0.5343,0.1864,0.0526,0.9328,0.5465,0.696,0.1864,0.4581,0.159228501660365,0.3153960525140231,18.165714,0.9,0.1,0.53,0.4581,0.2804,0.5,0.458978820840091,0.6379310344827587,0.4859844694253233,0.8333333333333334,0.6666666666666667,0.05,0.21560372625078475
Cebuano,19,21,23,22,84,cebu1242,cebu1242,stan1293,0.635,0.1864,0.4046,1.0,0.6734,0.7854,0.2677,0.5371,0.1786546752044315,0.447456563201428,20.45974,1.0,0.6,0.8,0.5371,0.5687,0.7,0.4861078141557789,0.5813953488372092,0.5360562674188973,1.0,0.6666666666666667,0.0799999999999999,0.3293650945027669
Chichewa (Nyanja),18,20,22,21,80,nyan1308,nyan1308,stan1293,0.6888,0.1864,0.3096,1.0,0.7608,0.7837,0.4934,0.5233,0.2022142895943666,0.453948280421112,21.19484,1.0,0.4,0.69,0.5983,0.5687,0.8,0.4889637408630559,-1.0,-1.0,1.0,0.6666666666666667,0.1099999999999999,0.22065340086471202
Chinese,23,22,21,21,87,mand1415,mand1415,stan1293,0.6462,0.641,0.3047,1.0,0.6488,0.8278,0.4878,0.5926,0.2107331748760378,0.3574355545484462,18.87491,1.0,0.4,0.55,0.5926,0.39,0.6,0.4949171504461406,0.7777777777777778,0.5325242619376499,1.0,0.8,0.0799999999999999,0.2577959696451823
Croatian,24,26,24,23,97,croa1245,croa1245,stan1293,0.5212,0.1864,0.0639,0.9196,0.5204,0.5779,0.4034,0.5093,0.1747549275139525,0.2788360139975238,23.955406,0.9,0.1,0.79,0.5093,0.5687,0.6,0.4646638334925578,0.6363636363636364,0.4934808163061419,0.8257575757575757,0.6666666666666667,0.0999999999999999,-1.0
Czech,23,25,24,23,94,czec1258,czec1258,stan1293,0.5992,0.1864,0.0481,0.9131,0.6234,0.684,0.2677,0.5368,0.1786738965477483,0.2859646687188805,18.86049,0.9,0.1,0.66,0.5368,0.5687,0.6,0.4710344843243741,0.5740740740740741,0.4779397409078746,0.7738095238095238,0.6666666666666667,0.06,0.21086862352159289
Danish,24,26,26,23,99,dani1285,dani1285,stan1293,0.5372,0.0,0.0292,0.7323,0.5459,0.7413,0.2617,0.4346,0.1622991770495908,0.2863492877022123,15.934754,0.7,0.0,0.5,0.5983,0.5687,0.7,0.3777832047905747,0.75,0.4669958312265524,0.5476190476190477,0.6666666666666667,0.03,0.11791225715919777
Dutch,24,26,25,23,98,dutc1256,dutc1256,stan1293,0.5343,0.1864,0.0174,0.7068,0.5416,0.6462,0.3548,0.4861,0.1573297001626682,0.282829252479655,14.338248,0.6,0.0,0.49,0.4861,0.5687,0.5,0.3299468743270022,0.5671641791044777,0.4135026674140678,0.5416666666666666,0.6666666666666667,0.03,0.15014688070718343
English,23,24,24,23,94,stan1293,stan1293,stan1293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.643046873908923e-20,0.0004472136,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
Estonian,24,25,23,23,95,esto1258,esto1258,stan1293,0.5622,0.641,0.0711,0.9687,0.5848,0.674,0.1864,0.5026,0.1517706715066794,0.2820924493373307,21.241074,1.0,0.1,0.69,0.5983,0.5687,0.8,0.4878046354690142,0.7962962962962963,0.4460997367454705,1.0,0.6666666666666667,0.03,0.17610693814461692
Ewe,14,15,18,16,63,ewee1241,ewee1241,stan1293,0.6361,0.1864,0.2049,1.0,0.6777,0.7553,0.4646,0.5249,0.2056634475822651,0.3991874283752927,20.448702,1.0,0.3,0.66,0.5249,0.3695,0.6,,0.6984126984126984,0.5175491695067657,1.0,0.6666666666666667,0.0699999999999999,0.30379128670907235
Farsi,25,25,20,24,95,west2369,west2369,stan1293,0.6099,0.641,0.2083,0.9196,0.6777,0.648,0.3729,0.4807,0.1971738371020648,0.3132736540200821,16.829262,0.9,0.3,0.72,0.4807,0.3433,0.6,0.5082894995069519,0.5,0.5039526306789697,0.8166666666666667,1.0,0.0799999999999999,0.2953880027488426
Finnish,24,25,23,23,95,finn1318,finn1318,stan1293,0.5882,0.1864,0.0812,1.0,0.6446,0.674,0.3141,0.4694,0.1681826688579946,0.2863081336602573,20.887901,1.0,0.1,0.53,0.4694,0.2736,0.5,0.4969299575588256,0.6721311475409837,0.4835605916233707,1.0,0.6666666666666667,0.03,0.18909001023802038
French,21,22,21,21,86,stan1290,stan1290,stan1293,0.5686,0.1864,0.0246,0.9386,0.5789,0.7083,0.439,0.4753,0.1657802641950677,0.2341885915619999,19.669724,0.9,0.0,0.46,0.4753,0.427,0.5,0.4697521663913439,0.6296296296296297,0.4731602234073838,0.857843137254902,0.6666666666666667,0.01,0.18394055462523595
Fulah,15,17,20,17,69,maas1239,maas1239,stan1293,0.6224,0.4161,0.1857,1.0,0.6645,0.6995,0.427,0.498,0.1889153080944197,0.3772725865426401,21.42274,1.0,0.2,0.57,0.498,0.5687,0.7,,0.6181818181818182,0.5431059093556048,1.0,0.6666666666666667,0.0699999999999999,0.20000000298023224
Ganda,17,20,22,21,79,gand1255,gand1255,stan1293,0.6621,0.4161,0.255,1.0,0.7165,0.7648,0.4407,0.4928,0.216309945721817,0.4081896889807551,21.865604,1.0,0.3,0.78,0.4928,0.5687,0.6,,0.56,0.5773502691896257,1.0,0.6666666666666667,0.05,0.32435898903088695
Georgian,21,23,23,22,89,nucl1302,nucl1302,stan1293,0.6546,0.3333,0.154,1.0,0.6791,0.738,0.4878,0.5667,0.2119543988165545,0.2988484877995837,18.509977,1.0,0.2,0.61,0.5667,0.4816,0.6,0.4913859293326371,0.6153846153846154,0.5624291338579865,1.0,1.0,0.05,0.3201173146565755
German,25,26,26,24,100,stan1295,stan1295,stan1293,0.5076,0.1864,0.0437,0.6336,0.5146,0.6465,0.3548,0.4364,0.1497015463706129,0.266889810577528,16.285048,0.4286,0.1,0.42,0.4364,0.3277,0.4,0.3828940829232359,0.42,-1.0,0.5833333333333333,0.6666666666666667,0.04,0.1614059394514057
Greek,24,25,23,24,95,mode1248,mode1248,stan1293,0.5828,0.3277,0.0921,0.9047,0.5837,0.7068,0.1864,0.5516,0.1716955334566311,0.2713775078362895,17.539917,0.8333,0.1,0.52,0.5516,0.195,0.5,0.4899154784182561,0.6170212765957447,0.4987546680538164,0.8166666666666667,1.0,0.02,0.22135365092671
